eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,TRACTCE,GEOID,cell,geometry
2,3.37915,-0.5369016,0.09903303,0.6635886,0.9362805,-0.32653707,-0.3275888,-0.52065545,0.11546391,0.74329215,3.1482918,-0.4580499,-0.2580755,-0.072090305,2.8073194,0.31372398,1.6932087,-0.62403524,-0.26733094,0.31567022,1.3422134,0.31568426,0.34429544,-0.43449032,-0.35209244,0.1555056,0.231477,1.2593757,-0.09743113,-0.16850273,-0.32696688,1.803968,0.10915544,-0.15694726,-0.07607868,-0.16941568,0.16968429,-0.13473588,1.0652323,0.27827293,0.90074766,-0.22185035,1.7639995,-0.19589438,-0.5019933,0.18106538,-0.5658191,-0.4717567,-0.42612487,1.4080093,0.75933516,-0.39519155,-0.2537417,1.2706902,-0.26197553,0.27029958,-0.17898227,1.9165573,0.37725738,2.3001037,0.07650347,-0.3834867,1.3029037,0.8903397,-0.3446589,0.7923305,-0.06029882,-0.39289546,1.5565349,1.765478,-0.37965882,1.2625091,0.9778905,-0.3033001,0.300929,2.5307355,0.26366413,1.7068231,0.05538714,1.6793332,-0.49921328,0.9730489,0.118239194,-0.04241615,2.679913,0.011541054,3.6968787,0.043427706,0.18087155,1.6251786,2.3165839,0.80692446,0.8051296,0.09132548,3.676021,0.6776699,-0.002874449,-0.38413137,0.51582766,0.056097187,-0.19730324,0.7920246,2.029961,0.36716223,-0.3812182,0.727771,-0.21623166,2.842714,1.7960745,2.047329,0.8612863,0.5946845,0.6480094,0.48329148,-0.63627005,-0.06887739,1.0468777,2.4109383,1.0746069,-0.41388306,-0.32500648,-0.5197401,2.565909,0.46786657,1.1912513,0.06735462,0.5221873,-0.09910218,807900,17031807900,613164982734946303,"POLYGON ((-87.74484148371776 42.00275715615024, -87.75089075031312 42.000942903105795, -87.75152859466635 41.99628458521589, -87.74611833330113 41.993440575525, -87.74006979095614 41.99525437023554, -87.73943078575807 41.99991263291808, -87.74484148371776 42.00275715615024))"
5,2.5962982,-0.4171303,0.036755357,0.8177433,1.0063828,-0.2835743,-0.33740228,-0.37931937,0.45440152,0.7082903,2.3828814,-0.50227606,-0.17163326,0.42576206,2.9192274,0.19531924,1.5000793,-0.48195994,-0.19143647,0.41015157,1.056274,0.37895226,0.6151606,0.16054499,-0.23021758,0.26104498,0.59148526,1.210552,-0.049095944,-0.17693774,-0.21805117,1.8922079,-0.06993879,0.0381743,-0.023053527,-0.29093784,0.31818265,-0.16730726,1.4977268,-0.22620401,0.9529711,-0.40816396,1.9023206,-0.40936545,-0.6124738,0.09910497,-0.5230407,-0.48403603,-0.3617546,1.7111449,0.37609172,-0.19426763,-0.3062962,1.1952162,0.24603862,0.12420753,-0.30861562,1.8435147,0.21313016,1.9821165,-0.28927857,-0.387316,1.640347,0.6280021,-0.1200614,1.1061536,0.17437658,-0.3647435,1.5293071,1.4768001,-0.09470579,1.1713777,0.8984445,-0.30515155,0.61394274,2.834796,0.014536068,1.1334311,0.011005189,1.7231314,-0.25576445,0.39455432,0.5225208,-0.0061206445,2.9148474,-0.11639475,3.4467542,0.5218402,-0.28135842,1.376968,2.6603134,0.79814005,0.79818875,-0.11510903,3.6064305,0.45370388,0.07139602,-0.37377918,0.31783926,-0.010430042,-0.16663104,1.0841143,1.90421,0.7502265,-0.26530576,1.1159427,0.037357964,2.2459517,0.95209205,1.7642922,0.41997904,0.38310945,0.7980187,0.62757707,-0.67493105,-0.11078065,0.788223,3.7909684,0.90356725,-0.5065497,-0.24073812,-0.5731387,2.607695,0.37343138,1.2699637,-0.00236246,0.5635067,-0.11360207,808002,17031808002,613164982376333311,"POLYGON ((-87.70853398706004 42.01363739683126, -87.71458665254556 42.01182465214625, -87.71522837085253 42.007165713510155, -87.70981858498062 42.00431957550585, -87.70376664532351 42.006131862234774, -87.70312376574225 42.01079074487131, -87.70853398706004 42.01363739683126))"
6,2.8287423,-0.27972588,0.0121892765,0.55567,1.1876873,-0.19918877,-0.35347942,-0.34327805,0.47428548,0.52202785,2.5385356,-0.5265138,-0.12551588,0.6350683,2.7239451,0.1976107,1.470612,-0.58486456,-0.16896021,0.45562816,1.2380033,0.5164868,0.7749907,0.6109493,-0.252696,0.17739502,0.47699967,1.0748657,0.14924699,-0.13644917,-0.18901888,2.0347452,-0.03125693,-0.084786184,-0.3340362,-0.32213008,0.413566,-0.17302638,1.2491636,-0.08658599,0.8019885,-0.40436497,1.6492147,-0.4061067,-0.5895904,0.013294071,-0.48907652,-0.5300133,-0.39061904,1.562339,0.2397277,-0.2459498,-0.26233009,1.3685291,0.4710386,0.052443206,-0.2661966,1.700902,0.18742612,2.101013,-0.1449494,-0.35437882,1.6562344,0.8408287,-0.14055097,0.94385403,0.17901321,-0.4641161,1.6323885,1.5661466,-0.4003452,0.8447104,1.0135733,-0.13961056,0.68137884,2.6086507,0.10928297,1.3234917,-0.024572581,1.6680422,-0.44885194,0.48039824,0.3602999,0.012150578,2.8862946,0.001022175,3.464917,0.4228038,-0.1270389,1.2779547,3.095557,0.42514586,0.6247548,-0.012353091,4.0258245,0.60772383,0.3986625,-0.3565172,0.2151838,-0.05206932,-0.1343347,1.1736834,1.8217925,0.6438316,-0.30532205,0.8378986,-0.07107891,1.9611726,1.3975214,1.6120209,0.16501102,0.73482233,0.83714753,0.7080723,-0.67190444,-0.09398861,0.60017085,3.3209028,0.8223923,-0.45762652,-0.2482682,-0.57195824,2.7525048,0.44449192,0.9967702,-0.203744,0.5761263,-0.15350741,808002,17031808002,613164982562979839,"POLYGON ((-87.70376664532351 42.006131862234774, -87.70981858498062 42.00431957550585, -87.71046068787395 41.999661058345275, -87.70505201202344 41.99681488396876, -87.69900079812088 41.99862671285715, -87.69835753434667 42.00328517390983, -87.70376664532351 42.006131862234774))"
8,2.6128716,-0.399328,0.020574361,0.8260815,0.9787726,-0.23373452,-0.3273639,-0.45717096,0.4624871,0.6868463,2.5379412,-0.5397375,-0.20579186,0.61726624,2.8732932,0.19389194,1.550106,-0.5121199,-0.19333604,0.45899335,0.981256,0.4183389,0.57988256,0.2370992,-0.19845377,0.27424133,0.59287983,1.1553278,-0.0005584378,-0.1349657,-0.25647455,1.729208,0.01577612,-0.014048971,-0.23388416,-0.32990116,0.31863457,-0.19278178,1.3860334,-0.17677662,0.9079061,-0.38097602,1.831125,-0.34247398,-0.59803706,0.118953526,-0.5376453,-0.51468945,-0.4248317,1.5971427,0.4093857,-0.22907005,-0.28070676,1.3742607,0.39171237,0.19160226,-0.30262077,1.6240199,0.3178763,2.003413,-0.18421596,-0.35458627,1.6105986,0.67944896,-0.1798083,0.9360857,0.16045268,-0.39395308,1.536583,1.5078486,-0.38718933,1.2147266,0.9164034,-0.19229084,0.59278256,2.8288338,0.053872526,1.4118896,0.07828895,1.7664566,-0.31794903,0.43803513,0.3079552,0.024941105,2.942888,-0.059760414,3.5233653,0.53517276,-0.20952953,1.4078137,2.6693428,0.75260276,0.75068855,0.023465574,3.7807534,0.560076,0.23798074,-0.43203327,0.14823642,-0.020068694,-0.10394857,1.0898007,1.9399902,0.6306007,-0.33718002,0.93284476,0.002134256,2.1391668,1.2169307,1.7615833,0.45526963,0.45341507,0.87762225,0.6154427,-0.6883518,-0.1501011,0.7765184,3.51468,0.9163877,-0.389773,-0.26864678,-0.57679075,2.6547365,0.3287343,1.243525,-0.118793964,0.47692096,-0.15284729,808002,17031808002,613164982820929535,"POLYGON ((-87.71046068787395 41.999661058345275, -87.71651141570094 41.99784862328057, -87.71715274232177 41.99319047176945, -87.71174450172529 41.99034481123427, -87.70569449922162 41.992156788421646, -87.70505201202344 41.99681488396876, -87.71046068787395 41.999661058345275))"
10,2.4083843,-0.3366749,0.42285764,0.36774135,0.78636616,-0.19692995,-0.20093957,-0.3621709,0.033492908,0.4966305,2.599123,-0.43990576,-0.26883528,0.34877762,2.8555698,0.6557053,1.3617927,-0.4329391,-0.16628201,0.36331263,1.5188736,0.2892824,0.637171,0.7562062,-0.4691881,-0.14631599,0.7321608,1.2506251,0.023228996,0.13545139,-0.08421057,1.4138288,-0.13792636,-0.18492977,-0.20825185,-0.3308687,0.7121366,0.16446066,1.2803582,-0.23817012,0.65325487,-0.5190393,1.6948439,-0.28400663,-0.60425913,-0.112193495,-0.39455515,-0.5669068,-0.45339203,1.4264047,0.33244473,-0.08699652,-0.17866397,1.6604874,0.27258295,-0.15600711,-0.19369364,2.3173296,0.2204798,2.362975,0.4499982,-0.35536557,2.0393577,0.91030514,-0.17263834,0.72262174,0.13223098,-0.38291883,1.9058424,1.491652,-0.4969424,0.43579152,1.2605188,-0.16400138,0.26737338,3.2779663,0.2340312,0.7935953,0.28697702,1.2122563,-0.23704146,0.45489115,0.380098,-0.10893162,3.2265322,-0.112788886,3.3223119,0.5524094,-0.2349605,1.6573243,2.431748,0.16732198,0.8204797,-0.15066929,3.408068,0.38858908,0.9064977,-0.3786646,0.1726971,0.17633362,-0.042736292,1.0486846,1.7204058,0.68261415,-0.38111573,0.92302275,0.042033523,1.3126575,1.5572696,1.3873711,0.10564707,0.38847575,0.5485151,0.83114696,-0.6450602,-0.091848165,0.8379973,3.506761,0.8157979,-0.30074605,-0.22677746,-0.55587494,2.7206473,0.48842964,0.9511948,-0.11921352,0.36711943,0.005798105,770602,17031770602,613181774582775807,"POLYGON ((-87.90050954993183 42.00957213575412, -87.90655121869392 42.0077498702594, -87.90717319312664 42.00309122574869, -87.90175466049678 42.00025489846404, -87.89571371088545 42.00207670362196, -87.89509057478408 42.006735296348495, -87.90050954993183 42.00957213575412))"
11,2.6482968,-0.4789337,-0.09563811,0.56828177,0.9695426,-0.0004583001,-0.18365568,-0.38755798,0.4270759,0.8691756,2.7335896,-0.29076916,-0.30527928,0.45714515,2.826876,0.51825494,1.5472587,-0.51229614,-0.13370156,0.37509155,0.8805663,0.27806705,0.54455763,0.38691148,-0.12508258,0.08587757,0.70910645,0.9453575,0.38641536,0.12826493,-0.19822417,1.7486964,-0.06114167,-0.007165268,0.18482897,-0.4540636,1.2048693,-0.04047665,0.98298687,-0.101523004,1.168089,-0.44127843,1.6118135,-0.2422568,-0.57237375,0.11562368,-0.5584294,-0.4304326,-0.4610908,1.0565197,0.57341355,-0.07638558,-0.34434462,1.3342129,0.2699112,-0.1166503,-0.11597243,1.8430177,0.025326699,1.6657314,-0.2767654,-0.3845901,2.1006875,0.83364856,-0.24355747,0.81891096,0.2016426,-0.2517613,1.5204753,1.6155427,-0.3164995,1.3041294,0.40724564,-0.21081974,0.6015452,2.8972514,-0.094899364,1.1436919,0.14419317,2.0174253,-0.29669172,0.47547185,0.5959215,-0.09259851,3.2559738,0.04739672,2.9416013,0.4029284,-0.08222068,1.7600355,1.9341482,0.3323593,0.9199662,-0.08319292,3.9662755,0.38501507,0.39363545,-0.31154042,0.20189288,0.04800032,-0.090320826,0.8931525,1.6605474,0.64500815,-0.36048186,0.7799435,-0.050828807,1.3981351,1.3166769,1.4106799,0.28342047,0.89714265,0.70392066,0.5815872,-0.69630206,-0.085875,1.0055977,3.313518,1.0601814,-0.2984923,-0.3977072,-0.56346726,2.6920514,-0.027097717,1.3437295,-0.207077,0.7760409,-0.029086981,770602,17031770602,613181774597455871,"POLYGON ((-87.8842544021533 42.001061024781826, -87.89029584562178 41.99923982392355, -87.89091937213452 41.99458165123513, -87.8855026164016 41.99174473149822, -87.87946189237422 41.99356547228585, -87.87883720466965 41.9982235928282, -87.8842544021533 42.001061024781826))"
12,2.5348535,-0.44810694,0.09428902,0.3192383,0.8977598,-0.29435906,-0.38314167,-0.41940683,-0.07638148,0.8732214,2.6845057,-0.3328883,-0.12609729,0.42581722,2.6825356,0.23540354,1.4907503,-0.45098713,-0.3015992,0.48749214,0.83257043,0.5245747,0.47472826,0.16619658,-0.10750067,0.37465686,0.80680054,1.1380372,-0.00862316,0.017879426,-0.23937772,1.1730651,-0.08056587,-0.12248484,-0.013906196,-0.32140422,0.2501755,-0.16893104,1.1144584,-0.16283572,0.8214263,-0.34172884,1.8650051,-0.34825474,-0.684978,-0.0010550022,-0.48316297,-0.53862107,-0.34201416,1.7157434,0.39021036,-0.14515571,-0.24624658,1.3347943,0.1024943,0.09536604,-0.051833928,1.7890111,0.24384919,2.243184,0.115067154,-0.33013988,1.8114955,0.9196178,-0.21345544,0.6601339,0.2658354,-0.36958438,1.8333626,1.4274073,-0.30333507,0.91392237,0.62721914,-0.2936954,0.5313396,3.2050061,0.25626627,0.9654483,0.07425423,1.7329217,-0.42152694,0.69479,0.13975255,0.07951726,2.9813623,0.04567077,3.3653092,0.52036405,-0.07563773,1.5385691,2.3447783,0.51305383,0.83881557,-0.1898304,3.883243,0.47449023,0.32448876,-0.3192049,0.06487341,-0.11304626,-0.118338004,1.0896885,1.8928887,0.5496751,-0.3245083,0.9227303,0.0113931075,2.120388,1.5861605,1.7334204,0.21944329,0.52099794,0.71053016,0.71254015,-0.6801297,-0.10594127,0.6005906,3.784514,0.8910116,-0.40851954,-0.16615996,-0.5899556,2.7792742,0.520324,0.8712872,-0.2599334,0.93803394,-0.023840075,770602,17031770602,613181774601650175,"POLYGON ((-87.89571371088545 42.00207670362196, -87.90175466049678 42.00025489846404, -87.90237702573246 41.99559667388182, -87.89695960266475 41.99276030629849, -87.89091937213452 41.99458165123513, -87.89029584562178 41.99923982392355, -87.89571371088545 42.00207670362196))"
16,2.883514,-0.36162353,-0.1007117,0.45648056,1.032005,-0.08204289,-0.40954334,-0.48210853,0.3034258,0.7578521,2.6138394,-0.40919757,-0.14196882,0.77230597,2.740592,0.24072164,1.5051352,-0.6036986,-0.23484465,0.39660424,1.100132,0.5340091,0.9981549,0.2820667,-0.30752924,0.13495499,0.6065025,1.1373492,0.10538534,-0.17095497,-0.13093862,1.5078439,-0.046169475,0.0018333718,-0.062803015,-0.29800838,0.4203208,-0.105375774,1.296035,-0.16998243,0.8659083,-0.35275364,1.7746235,-0.37858844,-0.5559968,-0.09036249,-0.5018378,-0.5726387,-0.29316106,1.8096602,0.36435497,-0.18549004,-0.20108631,1.4729598,0.28896102,0.023934409,-0.20377469,1.7658995,0.19223024,2.0800548,-0.06800263,-0.33324704,1.7036847,0.71020204,-0.18899824,0.7746227,0.20067078,-0.36260575,1.526144,1.7720382,-0.3878104,0.5037358,0.746367,-0.20795242,0.5599735,2.7989035,0.117313705,1.1627599,0.2802856,1.4706604,-0.3980346,0.5393984,0.26263425,0.24091789,2.7590427,-0.046756044,3.676075,0.8616253,-0.11648403,1.2548012,3.0189881,0.48037905,0.66340846,0.09940567,3.418694,0.5160514,0.1859413,-0.29648507,0.41785574,-0.085773006,-0.12946856,1.1399474,1.7299417,0.96719015,-0.32618475,0.767388,-0.22391865,2.2700672,1.7176871,1.5418346,0.29626533,0.6390549,0.285691,0.7030109,-0.67694634,-0.035748918,0.7092782,3.4201217,0.7962034,-0.46062124,-0.24957001,-0.4847527,2.7240417,0.33837318,1.0059433,0.066378266,0.5822778,-0.1403858,841200,17031841200,613164980021231615,"POLYGON ((-87.67728626489678 41.86234734907869, -87.68332082015826 41.8605405788784, -87.68396363575181 41.855890175758475, -87.67857304970298 41.85304659954364, -87.6725392165856 41.85485291329939, -87.67189524740523 41.859503259662006, -87.67728626489678 41.86234734907869))"
18,2.7081895,-0.41537392,0.013510227,0.8352539,0.96853274,-0.27069566,-0.36569476,-0.4167366,0.522304,0.7451605,2.3951201,-0.5510112,-0.17639707,0.7132075,2.8344474,0.1892035,1.498184,-0.52921885,-0.19959345,0.46335596,0.90979904,0.46632683,0.8764508,0.17975041,-0.29717818,0.2962662,0.30538228,1.1557684,0.042581785,-0.13037187,-0.22624935,1.8336452,-0.004380226,-0.030919358,-0.21110894,-0.28823858,0.32385936,-0.16273206,1.3946207,-0.16603714,0.89602005,-0.35747075,1.6047255,-0.3401671,-0.53096956,0.097274065,-0.5613141,-0.5481267,-0.40912545,1.6088331,0.3319884,-0.22107868,-0.29252288,1.2388033,0.25392365,0.27328432,-0.2768287,1.6102688,0.27012244,2.0459497,-0.21734875,-0.33591932,1.5896572,0.72940636,-0.18594256,0.8953272,0.1462535,-0.37429634,1.5646229,1.5155593,-0.39955184,1.1533252,0.7624452,-0.28235424,0.6066437,2.796365,0.15766475,1.4158454,0.15597017,1.6158028,-0.42009586,0.6693225,0.44300854,0.10298715,2.8740132,-0.013265163,3.497948,0.6122545,-0.22862907,1.3645105,2.8047855,0.68538463,0.7683727,-0.0015240085,3.7272952,0.5824307,0.23355187,-0.37970757,0.10677717,0.03396008,-0.10352945,1.0756521,1.9254352,0.57317245,-0.30662698,0.80716157,-0.091041304,2.3213308,1.4253733,1.7677081,0.5908764,0.683842,0.6749341,0.61802197,-0.6501615,-0.005402334,0.7183422,3.5236254,0.9246612,-0.44139168,-0.32627225,-0.5522471,2.6457322,0.34465194,1.1712807,-0.12515242,0.40842968,-0.17541105,831900,17031831900,613164976254746623,"POLYGON ((-87.67043706448018 41.95360392809145, -87.67648392541058 41.95179484381982, -87.67712871253757 41.94713928084488, -87.67172779689798 41.94429285895344, -87.66568166120312 41.94610148619323, -87.66503571594485 41.95075699230364, -87.67043706448018 41.95360392809145))"
27,2.7459145,-0.40663797,0.0132128075,0.68859774,1.0012505,-0.2436411,-0.30361807,-0.43793577,0.56069005,0.80227983,2.6199615,-0.5702673,-0.17877632,0.6391996,2.7233071,0.18445882,1.5248212,-0.5197444,-0.17559499,0.49662238,1.0036728,0.4684996,0.69491065,0.31668517,-0.27821302,0.2065629,0.51566154,1.1220152,0.004353244,-0.11764461,-0.16925547,1.773999,0.025969716,0.10719581,-0.2579759,-0.35108766,0.36955827,-0.16023415,1.2821883,-0.17861001,0.8106058,-0.40854853,1.735921,-0.36372685,-0.5882122,0.045495182,-0.53625274,-0.54430616,-0.30939502,1.6053345,0.34863207,-0.22090784,-0.2670158,1.385554,0.35660577,0.18256049,-0.25055978,1.6923901,0.4074939,2.1212494,-0.14904153,-0.3555075,1.663571,0.78082955,-0.19224672,0.770315,0.17782034,-0.36140117,1.5928348,1.6096073,-0.40328297,0.9822205,0.9909338,-0.17884901,0.5518713,2.8625374,0.093968585,1.4429806,0.1681509,1.6147473,-0.37881884,0.44616517,0.28966364,0.07167465,2.9784331,-0.0021378845,3.4031568,0.51245046,-0.27672428,1.3510454,2.9662213,0.5178827,0.79157925,0.047552615,3.6568203,0.51333505,0.23558964,-0.3998462,0.1758262,-0.04594893,-0.12991934,1.1355817,1.8759391,0.5973991,-0.32522467,0.8615295,0.0058587343,2.192452,1.3901174,1.642436,0.33702832,0.50938445,0.61880076,0.66144735,-0.6656001,-0.12626293,0.74099183,3.4773836,0.8346668,-0.4074043,-0.25621045,-0.53352594,2.6732163,0.36340088,1.107336,-0.13203873,0.60040665,-0.09987886,842300,17031842300,613164976185540607,"POLYGON ((-87.66286594111459 41.92463575946146, -87.66890941903583 41.92282789797201, -87.6695545771894 41.91817396908059, -87.6641574141081 41.9153279586701, -87.6581146607695 41.917135363437126, -87.65746834596209 41.92178923528445, -87.66286594111459 41.92463575946146))"
