BoroCT2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
1000201,0.6841281,0.7401731,-0.17412613,3.369676,-0.4380421,-0.4506942,-0.2683529,0.24922884,-0.14833121,-0.25587815,-0.30039924,1.6374607,0.044561345,0.14113843,1.0768514,-0.40926367,-0.23698217,-0.2926041,1.5787983,-0.29248562,-0.013602018,1.2014651,1.6401153,-0.4020535,2.264993,-0.44121295,0.027770076,1.0162023,-0.28400463,0.077967525,-0.46245882,2.244096,3.250281,2.5295324,-0.57753605,-0.26754162,0.5057742,0.24653696,0.18422732,-0.32684007,-0.26278266,-0.21045199,-0.3934069,0.65314907,2.4238,0.3986723,2.5445275,1.329739,-0.10045649,-0.1055814,-0.29613268,0.36044437,-0.24547198,2.0702622,0.72191834,1.828055,-0.31090015,-0.069416605,-0.13858461,-0.023678636,3.7264028,-0.3668924,0.5311018,2.5956337,0.036521316,1.4332992,-0.371518,-0.2692308,0.71406233,2.324211,1.6649822,-0.54823935,-0.32179976,-0.36665905,-0.19618478,-0.0653178,-0.1133057,-0.2622581,1.0076344,-0.45141438,0.12163489,1.4971292,-0.27992982,-0.2698719,0.6936418,0.3329975,0.6451016,2.638974,-0.13202593,-0.30611247,-0.18225613,2.884629,1.5556813,0.14564297,0.5564558,0.3686235,-0.54455286,-0.35063353,-0.16743001,0.019431442,-0.4274537,0.7347338,4.4795537,2.6948729,0.18241368,0.9422779,1.2817354,-0.34263906,1.8275535,-0.043412834,-0.18078783,3.2874079,0.3986668,-0.20172723,1.0818729,-0.30020148,1.1834671,-0.6009952,2.6398513,-0.17049623,0.87707216,0.23679402,2.399178,2.7440817,1.8817413,-0.5662426,0.06809174,-0.17756425
1000202,0.9360949,0.4403578,-0.14119188,3.3000736,-0.37213886,-0.48776385,-0.35365462,0.20562941,-0.12724775,-0.2401295,-0.27795523,1.6795985,-0.00546604,0.3013391,0.9972193,-0.4150175,-0.1980023,-0.27845788,1.5155525,-0.24866186,0.030703455,1.1845452,1.6673892,-0.42515513,2.2269955,-0.44720918,0.048523143,1.0243802,-0.12545034,0.1239177,-0.4502198,2.2225318,3.1180964,2.5240526,-0.6258686,-0.20128694,0.68578017,0.27961445,0.08212826,-0.34283456,-0.27008963,-0.11148458,-0.33936864,0.60300046,2.191732,0.394042,2.360928,1.4817134,-0.11258531,-0.15276313,-0.29461566,0.23856984,-0.27859932,2.0045342,0.6633605,1.8373982,-0.2894175,-0.047229894,-0.21220818,-0.09223505,3.5929236,-0.2866626,0.48624992,2.711844,0.011989087,1.5925384,-0.38875026,-0.29646662,0.8092159,2.1397622,1.7199566,-0.5481795,-0.22614619,-0.31736624,-0.15652494,-0.05018865,-0.16918144,-0.14911029,1.0214558,-0.4505378,0.41227147,1.6196182,-0.25457355,-0.25479257,0.6827524,0.48133093,0.6801613,2.7707362,-0.14324142,-0.34678674,-0.25600725,2.7900553,1.4607565,0.25675237,0.5582438,0.35426036,-0.59480834,-0.29607916,-0.2025302,-0.09200296,-0.427934,0.6574167,4.7179728,2.673045,0.16032636,0.89451265,1.4075813,-0.37220436,1.8312719,-0.059323467,-0.12937196,3.208344,0.4401478,-0.23504773,1.0787495,-0.27710876,1.0422136,-0.5641322,2.4629195,-0.18324149,0.91219574,0.19187897,2.4743075,2.9375439,1.8862348,-0.59163165,0.04250367,-0.11032899
1000500,0.71456933,0.49353522,-0.1697501,3.1492271,-0.28184795,-0.48522297,-0.34566528,0.14191945,-0.01138334,-0.074328735,-0.31890497,1.752812,0.10484123,0.40263346,0.97577083,-0.40330398,-0.20491105,-0.18709017,1.610671,-0.296753,-0.28363514,1.3426608,1.6676699,-0.3813122,2.0996394,-0.31674397,0.030050665,1.1432916,-0.22039917,-0.003242366,-0.40526298,2.0759845,3.1988559,2.8406005,-0.6199834,-0.048346356,0.70744544,0.31596166,0.24384436,-0.30849764,-0.24869627,0.03056401,-0.29259446,0.6873696,2.4042284,0.38925344,2.1914124,1.2294434,-0.0814171,-0.30819666,-0.31322873,0.28993332,-0.21886346,1.8533796,0.75655115,1.8422292,-0.09687398,-0.06717754,-0.2686277,-0.1547006,3.866844,-0.33554333,0.36074406,2.7506166,-0.07183167,1.473739,-0.4621281,-0.23873141,0.82372254,2.118444,1.6140535,-0.5306503,-0.21280047,-0.39389378,0.049647033,-0.013026043,-0.1498613,-0.20697361,0.9311743,-0.40111157,0.40645075,1.7669615,-0.2536519,-0.3074555,0.71293014,0.8470252,0.64715874,2.725395,-0.12290405,-0.2874142,-0.23914948,2.859758,1.1225655,0.30709857,0.42767718,0.24111801,-0.6188949,-0.31809464,-0.1879085,-0.18470852,-0.37953305,0.28821728,4.106308,2.7368083,0.12497991,0.87203765,1.1235905,-0.36361372,2.1007292,0.2285394,-0.120450534,3.2176294,0.4518358,-0.24050449,1.3067466,-0.2636639,1.0641422,-0.5668013,2.6061969,-0.035720095,0.9010129,0.10819605,2.3264852,3.136167,1.857081,-0.54405284,-0.07298601,-0.15931705
1000600,0.81278676,0.5487531,-0.13215846,3.3097034,-0.37113178,-0.45792344,-0.3690978,0.26995355,-0.10671355,-0.20306501,-0.2949335,1.6691331,-0.024771787,0.24245074,0.99994653,-0.41396156,-0.2092201,-0.25486857,1.4658759,-0.25001228,-0.078106284,1.199833,1.6201202,-0.39455602,2.1805727,-0.38732478,0.12762675,1.126334,-0.22055742,0.1279463,-0.45873457,2.2086606,3.2713506,2.6281717,-0.5883331,-0.20220114,0.7137053,0.29192454,0.051085472,-0.31702134,-0.250923,0.0067314953,-0.35059762,0.6737523,2.275131,0.42527783,2.3387191,1.3158504,-0.0762395,-0.2349615,-0.3160834,0.2738629,-0.24412923,1.9595057,0.64972997,1.8045946,-0.22962317,-0.048919603,-0.23110065,-0.06890879,3.7199974,-0.31928048,0.42216757,2.7489936,0.0048238635,1.4846069,-0.4445338,-0.25168562,0.77286565,2.1947162,1.6842291,-0.58729124,-0.23734936,-0.40031433,-0.057151705,-0.0567867,-0.11980711,-0.19320452,0.9602028,-0.43823394,0.46346086,1.6851331,-0.28759572,-0.29299402,0.7161494,0.6555513,0.73624504,2.6715412,-0.1562647,-0.362037,-0.25424436,2.7758908,1.356523,0.30444705,0.5641669,0.26513705,-0.60924435,-0.3124469,-0.2572564,-0.12131841,-0.39065492,0.61797595,4.4395,2.6783829,0.2176984,1.0060536,1.3831401,-0.3893705,1.8398155,0.09273587,-0.09607837,3.2882657,0.3804862,-0.21628614,1.1552324,-0.29854795,1.0894318,-0.53199834,2.447374,-0.19764747,0.8406215,0.13051125,2.4807787,2.9451988,1.8938336,-0.5816392,-0.02329348,-0.14702019
1000700,0.9163471,0.54485065,-0.14951856,3.203496,-0.30790207,-0.48529714,-0.41199985,0.29865274,0.11724417,-0.18245934,-0.30291656,1.702034,-0.08062184,0.356388,0.98609227,-0.3850935,-0.22852829,-0.34276485,1.5483885,-0.25453216,-0.090421125,1.2189852,1.6846067,-0.42715636,2.3828826,-0.33654124,0.03401418,1.1274709,-0.015218452,0.020286005,-0.4686309,2.1545928,2.9878507,2.573635,-0.56870717,-0.027391687,0.5490988,0.32485294,0.1918768,-0.2790596,-0.2672482,0.038760215,-0.29527783,0.51544565,2.4101186,0.3958597,2.3087585,1.4276314,-0.037184697,-0.2298513,-0.33658016,0.2199832,-0.25703904,1.7765051,0.6587508,1.7651169,-0.1877108,0.04764186,-0.22547048,-0.096562654,3.5268497,-0.30480683,0.4334283,2.7605293,-0.117966354,1.5193619,-0.4074004,-0.2879306,0.7296893,2.2234752,1.6034403,-0.5071917,-0.2194576,-0.394887,-0.106874704,0.05257714,-0.20630538,-0.16373444,0.91907966,-0.43496978,0.5028304,1.6985441,-0.22669193,-0.19927293,0.62570816,0.6882953,0.7770273,2.8539548,-0.13606043,-0.31951934,-0.24645387,2.7006004,1.3270378,0.24390459,0.38920876,0.10131212,-0.6023988,-0.29568112,-0.20926036,-0.18965293,-0.44596225,0.51991487,4.373104,2.5644722,0.13378833,1.0367815,1.3164809,-0.3313925,1.7999184,0.053588107,-0.11086069,3.247556,0.6021088,-0.24088389,1.2933695,-0.20308444,1.0868328,-0.5515853,2.5079966,-0.17124708,0.8588534,0.014986664,2.4347594,3.141875,1.8884307,-0.6007111,-0.0052593797,-0.12024781
1000800,0.8673496,0.57834774,-0.15581343,3.3209734,-0.2930457,-0.51766527,-0.43590575,0.27408752,-0.072850764,-0.21844628,-0.21154985,1.6060127,0.023440182,0.32938665,0.9759173,-0.3970706,-0.2169711,-0.31898934,1.4103284,-0.27154016,0.11387098,1.2025472,1.6856257,-0.4559005,2.3092394,-0.4128796,0.018691473,1.1292889,0.021120742,0.08334471,-0.44969577,2.2800808,3.090022,2.554055,-0.5681953,-0.17314398,0.74590003,0.358288,0.06002578,-0.37098345,-0.18756092,-0.12267218,-0.33337194,0.75038713,2.200152,0.3713389,2.4048967,1.4907745,-0.09349947,-0.13873595,-0.3141071,0.25266823,-0.2952439,1.843998,0.47777492,1.8599786,-0.24445269,-0.13316846,-0.24536136,-0.055438142,3.6872764,-0.32679415,0.35530564,2.6039953,-0.005494982,1.5344204,-0.41729844,-0.2879102,0.9802334,2.1537838,1.6593351,-0.52445585,-0.21622366,-0.30049348,-0.15527791,0.034657057,-0.14534615,-0.1002446,0.92384404,-0.4449041,0.5001675,1.6748174,-0.26265058,-0.20125249,0.6730545,0.5743416,0.7568243,2.900407,-0.11894891,-0.33956128,-0.26838693,2.6181684,1.4493139,0.21563496,0.5336075,0.28887323,-0.6076702,-0.2764825,-0.1728338,-0.17999269,-0.4362019,0.46546698,4.7314057,2.7377183,0.21981469,0.9092617,1.3069742,-0.3479831,1.846087,0.024347514,-0.13418275,3.0797784,0.39844617,-0.25814593,1.1491815,-0.24219139,1.0425042,-0.53801394,2.5388708,-0.13939185,0.867641,0.15378931,2.2144983,3.003037,1.8590953,-0.5851004,-0.019518718,-0.14760244
1000900,0.89418495,0.57234246,-0.12995502,3.2721767,-0.29893902,-0.49742848,-0.4095894,0.25096974,-0.038321197,-0.197039,-0.28372708,1.7127558,-0.029101409,0.34271443,0.9979097,-0.40725482,-0.23340595,-0.2973331,1.4389782,-0.2930159,-0.005174637,1.1867912,1.6671312,-0.45593366,2.2111588,-0.38162977,0.052061144,1.0847898,-0.01748681,0.06342976,-0.4439928,2.2075076,3.0946598,2.6155002,-0.57884264,-0.13673577,0.6847004,0.3499772,0.15806845,-0.34500286,-0.23382969,0.007434875,-0.3350382,0.6611558,2.190683,0.3904887,2.3361971,1.4508706,-0.079316534,-0.2180099,-0.30552787,0.1797843,-0.30296463,1.9046917,0.605468,1.8244855,-0.19396444,-0.06690587,-0.26264527,-0.10204147,3.7778187,-0.30446205,0.32248008,2.708084,0.00010287762,1.5472516,-0.4002264,-0.27359125,0.887008,2.1958134,1.6703639,-0.520505,-0.22412294,-0.31922328,-0.11107916,-0.03228324,-0.1627648,-0.12936288,0.9375357,-0.41723177,0.5176405,1.6670843,-0.28548014,-0.2412457,0.65159726,0.6695626,0.79635614,2.8823702,-0.13284191,-0.33103797,-0.24995835,2.6774778,1.3215845,0.2637525,0.530519,0.2103827,-0.62462145,-0.2903001,-0.21914536,-0.1960555,-0.43504816,0.48467085,4.4738426,2.6829782,0.20624857,1.0028082,1.3200037,-0.36219594,1.855248,0.07970375,-0.12203851,3.2180307,0.4207989,-0.2393297,1.163089,-0.25799355,1.0378051,-0.5383245,2.563952,-0.12403074,0.8582173,0.11199662,2.3358898,3.026596,1.8871464,-0.5757965,-0.06582087,-0.16488685
1001001,0.93931997,0.51416516,-0.19911507,2.9253123,-0.3926681,-0.54689366,-0.3592443,0.1573379,0.028390482,-0.12608905,-0.27646062,1.6068066,0.67001855,0.5746663,0.82470757,-0.387976,-0.218787,-0.29668435,1.5312133,-0.24075824,0.11659214,1.3506824,1.8953619,-0.2795121,2.5338511,-0.31493354,0.3017984,0.9057893,-0.32548755,-0.23912968,-0.4792475,3.024704,2.8071237,3.3358994,-0.65255517,-0.09866485,0.14882755,0.16010848,-0.031721354,-0.122587785,-0.30221325,-0.18802023,-0.25500455,0.49134278,1.8514467,0.6417039,2.1342423,1.1702461,-0.016423438,-0.26032788,-0.3886122,0.0146592185,-0.39195085,1.8267386,0.9306013,1.7303983,-0.13749367,0.19554184,-0.23401695,-0.21699604,3.0338228,-0.32864875,0.6087167,2.9971595,-0.072488636,1.8392533,-0.34187788,-0.25344586,0.7679447,1.8845296,1.6215897,-0.51951504,0.085832134,-0.075190306,-0.29400432,-0.049276505,-0.35219306,-0.06540972,1.1414104,-0.30266142,0.1519565,2.0682385,-0.18178424,-0.07534602,0.5776123,0.15231234,-0.18662818,2.7496262,-0.007888973,-0.19894509,-0.40182036,2.4487536,1.0522046,0.12131971,0.4174043,-0.016221754,-0.5893665,-0.36002886,-0.15317836,-0.09493077,-0.42668295,0.37770203,4.429835,2.2096636,0.14388357,0.7323904,0.7783101,-0.2909531,1.8145076,0.67679197,-0.19557254,3.6243484,0.6259896,-0.26819104,1.2555462,-0.048086315,1.0612097,-0.57634115,3.6882734,-0.17154191,1.3167189,0.15115653,1.8792217,2.3723435,1.773544,-0.48450977,-0.022714138,-0.08785005
1001002,1.1278979,0.47719592,-0.14784291,2.8611813,-0.4519205,-0.44198874,-0.40810558,0.44395125,-0.006022483,-0.18071963,-0.2940416,1.522543,-0.114789695,0.018994153,1.0633855,-0.34443286,-0.13908774,-0.2716585,1.5527105,-0.18183601,-0.13800597,1.020923,1.6561693,-0.33976144,2.508179,-0.36841363,0.031750076,1.5870469,-0.18223788,0.13763551,-0.43939602,1.974356,3.1346195,2.4358897,-0.6131713,-0.11840698,0.65165675,0.26034838,0.045939475,-0.20742692,-0.33512497,0.019874707,-0.29546198,0.60427785,2.1559174,0.44028345,2.318871,1.2305912,-0.06791431,-0.25607008,-0.3242688,0.64215803,-0.20659529,2.088962,0.5389309,1.7503506,-0.31828693,-0.032753617,-0.21373247,0.2137325,3.3272905,-0.167342,0.86807966,2.3558652,-0.04773271,1.1986071,-0.4149209,-0.2272683,0.6692319,2.0500817,1.783272,-0.6155962,-0.24953684,-0.38774076,0.06191337,-0.0689759,-0.1350242,-0.23087423,0.9978515,-0.57163465,0.32766625,1.5451081,-0.2937696,-0.22763775,0.7009783,0.41595677,0.6082407,2.6151955,-0.31746796,-0.27545893,-0.24836531,2.710573,1.4667853,0.3965853,0.7773732,0.40770206,-0.53730017,-0.40119064,-0.34832612,-0.20914036,-0.30418456,0.64945865,4.7205772,2.6401885,0.028577656,0.8452991,1.9689398,-0.41322705,1.868447,0.14349835,0.13798596,3.3091443,0.51382303,-0.1288583,1.0057299,-0.3861128,1.1778659,-0.6201876,1.9595876,-0.23395213,1.065957,0.26854014,2.537388,2.9423935,1.8263271,-0.6358206,0.14384148,-0.04997444
1001200,0.7298956,0.81293523,-0.16004607,3.4078941,-0.38277638,-0.48500785,-0.41053176,0.39577448,-0.08720021,-0.20768023,-0.30669346,1.8205229,-0.053998686,0.2766984,1.001918,-0.4582147,-0.06628762,-0.26233834,1.6662679,-0.2697656,-0.31990787,1.3423971,1.6569264,-0.46579912,2.2862139,-0.42554837,-0.0021260679,1.1759137,-0.25305372,0.15385693,-0.44106048,2.0405042,3.0151763,2.6830041,-0.648355,-0.076384574,0.41823223,0.35926226,0.22927392,-0.22570807,-0.29871863,0.23700929,-0.331259,0.46164408,2.2955282,0.34163934,2.4663262,1.1145027,-0.07261982,-0.16674536,-0.34762162,0.43296954,-0.11049303,1.9854875,0.7281692,1.6941278,-0.26372615,-0.05285442,-0.16229762,-0.10855697,3.7116797,-0.36445877,0.43891543,2.7687025,-0.11167392,1.1781332,-0.5237156,-0.2696476,0.737306,2.568429,1.6430908,-0.5457318,-0.2546648,-0.55440253,0.0042124987,-0.04342202,-0.10069551,-0.22071591,0.9941724,-0.5136206,0.5876157,1.9542269,-0.14470567,-0.29656982,0.77302384,0.59585345,0.63564074,2.670935,-0.20624895,-0.32925102,-0.18447453,2.712343,1.2832661,0.113439694,0.48538464,0.25512135,-0.58914804,-0.36561602,-0.20571107,-0.26629093,-0.38816953,0.56900305,4.5281963,2.9412441,0.08718466,1.0297875,1.1339494,-0.37264603,1.848945,-0.09655118,0.033781573,3.18155,0.44210142,-0.28897431,1.2467903,-0.20147923,1.143858,-0.54608756,2.5002942,-0.18141025,0.80806375,0.055476695,2.5160565,2.927074,1.8420615,-0.6257607,-0.004921362,-0.0849225
