eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,BoroCT2020,GEOID,cell,geometry
0,0.23172486,0.7266494,0.16981472,1.4914958,1.1523572,0.07652381,0.47049886,-0.13794541,1.1572517,1.3833554,-0.33270952,-0.33294496,0.08334264,1.1817789,1.3784183,-0.34415072,-0.15159717,0.6300111,0.20721577,0.72423387,2.2424102,0.6255244,0.31988317,0.76657635,-0.23374267,-0.19549194,1.4707227,1.7407817,0.25908795,-0.22721334,2.2459512,1.6513212,-0.5947477,-0.40702486,-0.17350084,0.48971793,2.401036,-0.64304626,0.5250099,4.1465783,0.40580457,0.7195644,-0.39947882,0.015269984,0.93343914,-0.0784281,0.4874935,0.9271405,-0.032593638,-0.31230038,0.006350696,0.49607825,3.4406152,-0.036768466,2.1552236,-0.31669393,0.097972766,-0.066173896,-0.032246053,-0.010529332,0.3649813,2.1367111,-0.2597375,1.1025251,-0.33880705,-0.036085874,1.2877159,-0.47916687,0.12894851,1.0556376,0.6444565,-0.0718828,-0.19926946,0.6525252,2.4031866,-0.33264256,2.6101398,0.84821653,-0.24290058,-0.34775805,0.87491894,1.4530286,0.13219398,0.32615802,1.3186756,1.1335948,-0.08446745,-0.82274365,1.4927202,2.1954725,-0.045849852,-0.67441976,-0.3021554,1.2478514,0.8704513,1.6238188,1.18708,1.4126395,0.55427784,1.2476614,0.37034857,-0.19189794,0.75326264,1.6206217,0.29777288,0.99761486,0.13003546,0.036195174,-0.21027172,1.897594,-0.09833365,0.15116835,-0.24996948,1.6664217,-0.542237,-0.32711384,1.0690227,0.072451875,-0.25655815,-0.5260316,-0.6582767,2.551296,3.7357252,0.62242776,-0.22591949,-0.07138814,-0.071985096,2.863693,1001401,36061001401,613229524196261887,"POLYGON ((-73.97824871666947 40.72281094762266, -73.98462442013124 40.721757754438094, -73.98658861001985 40.71729990459654, -73.98217800523803 40.71389557913704, -73.97580332622488 40.71494855254655, -73.97383822765691 40.71940607116064, -73.97824871666947 40.72281094762266))"
1,0.35208568,0.72829866,0.22274324,1.5770781,1.1258235,-0.029815033,0.5509095,-0.1306592,1.1523271,1.4583708,-0.33639887,-0.3050658,0.09501554,1.1235341,1.4345819,-0.2978813,-0.19873668,0.6352113,0.291714,0.5851429,2.2206175,0.7179184,0.30317783,0.6769184,-0.1793575,-0.20490709,1.4248857,1.6219633,0.22680634,-0.25764263,2.372594,1.7695221,-0.5641687,-0.44090787,-0.23778468,0.49684322,2.4583874,-0.65683055,0.5711326,4.1730413,0.29909882,0.655603,-0.35347605,0.04444778,0.9180595,0.0102179535,0.28243807,0.90871394,-0.1179287,-0.35506225,0.023735046,0.6230737,3.4103203,-0.085140675,2.1392117,-0.3224335,-0.029415015,-0.107573435,0.057807952,-0.006591074,0.4758988,2.1263742,-0.3055577,1.1464919,-0.3010402,-0.09848131,1.4906223,-0.43328166,0.12335682,1.2593378,0.5289122,-0.051864132,-0.1844675,0.62737024,2.4291186,-0.35639727,2.5714407,0.84530824,-0.29372174,-0.38432157,0.9366545,1.5046419,0.07598544,0.43098855,1.2724831,1.1570116,0.026573196,-0.78957236,1.39936,2.2744372,-0.045457184,-0.6929072,-0.3268913,1.3579664,0.9557235,1.6214871,1.1553181,1.4354519,0.59675974,1.1053975,0.311037,-0.19248451,0.77942264,1.5262586,0.27482718,1.0336547,-0.08109121,0.07340726,-0.24719067,1.8643857,-0.09361969,0.18274578,-0.2656733,1.6793315,-0.61102563,-0.37316626,1.20583,-0.08272062,-0.21723934,-0.51745385,-0.66007096,2.3398,3.877318,0.620441,-0.1375443,-0.067272715,0.027325738,2.7130222,1001401,36061001401,613229551482306559,"POLYGON ((-73.98658861001985 40.71729990459654, -73.99296341989005 40.71624630826328, -73.99492660078673 40.711788606426545, -73.99051588058998 40.70838483194655, -73.98414209479957 40.70943820835379, -73.98217800523803 40.71389557913704, -73.98658861001985 40.71729990459654))"
2,0.24712634,0.61130023,0.1834176,1.5457392,1.2165847,-0.0002477616,0.5784917,-0.16699101,1.1352936,1.5349513,-0.31695232,-0.33184445,0.051393345,1.0837045,1.4545112,-0.2771448,-0.22390984,0.6292968,0.28089508,0.5687923,2.2580316,0.6647171,0.35669655,0.72931963,-0.18022293,-0.18679658,1.3065628,1.674947,0.32230952,-0.28309822,2.2470117,1.8264022,-0.58808535,-0.4143165,-0.20282206,0.45021495,2.2777543,-0.66501486,0.5770792,4.1920667,0.30314752,0.7569522,-0.35416436,0.042998634,0.9208067,0.027435496,0.4862108,1.0352033,-0.114141434,-0.3610268,0.10149211,0.5601574,3.3977718,-0.051267385,2.040382,-0.27426454,-0.035681054,-0.10202584,-0.054108948,-0.031087168,0.44343975,2.0924459,-0.33823428,1.0664555,-0.3264059,-0.122894324,1.5961906,-0.4647046,0.12912735,1.3324108,0.6329156,-0.046867013,-0.20509893,0.5700784,2.439547,-0.3338964,2.683357,0.8942635,-0.24149403,-0.39047888,0.8703794,1.4698331,0.09223363,0.3646836,1.3597124,1.1071408,-0.03910219,-0.76800895,1.3353026,2.3372748,-0.028706864,-0.644796,-0.3147916,1.3836493,1.0871627,1.6419997,1.1057832,1.2972255,0.48078394,1.30492,0.30216658,-0.18723875,0.749584,1.5673164,0.2613976,1.2207772,-0.12564631,0.088590294,-0.27553558,1.8633245,-0.09577995,0.14823094,-0.31055427,1.778715,-0.6223806,-0.3275768,1.0719043,-0.07836341,-0.23608448,-0.5104722,-0.66954243,2.4167414,3.8497286,0.5380786,-0.23137827,-0.10784826,-0.10204908,2.7644725,1001402,36061001402,613229551463432191,"POLYGON ((-73.98903594902828 40.72516233902856, -73.99541178328332 40.72410852269769, -73.99737506414453 40.71965034180397, -73.99296341989005 40.71624630826328, -73.98658861001985 40.71729990459654, -73.98462442013124 40.721757754438094, -73.98903594902828 40.72516233902856))"
3,0.34725973,0.7143236,0.2742247,1.4779336,1.180575,0.08206399,0.3579331,-0.22832027,1.1598555,1.2004188,-0.3475075,-0.32072067,0.1213776,1.258972,1.4325767,-0.3401559,-0.14718543,0.58677214,0.21777196,0.5098216,2.162495,0.49659798,0.3147947,0.8284625,-0.2403489,-0.14064659,1.3603647,1.9234401,0.08714789,-0.10926021,2.3525949,1.525382,-0.57406926,-0.38552898,-0.26980653,0.58646286,2.4585392,-0.5679064,0.5423522,4.209235,0.48787653,0.6869107,-0.3657408,0.03840743,0.94670975,-0.061061222,0.5127633,0.93446934,0.07485315,-0.33107558,-0.10104638,0.45834196,3.4570065,-0.12702592,2.18013,-0.33579367,0.20264949,-0.14204693,0.17154148,-0.008571826,0.45385024,2.1227264,-0.2250343,1.2669251,-0.3574222,0.03420593,1.1434994,-0.4627648,0.1626725,0.91762584,0.5394675,-0.037500083,-0.30446053,0.7071922,2.3429255,-0.37177962,2.4138823,0.8302498,-0.25930008,-0.35281524,0.84652174,1.4546285,0.18224552,0.35757688,1.3072647,1.1577978,-0.08116259,-0.84650445,1.5043437,2.191684,-0.05198469,-0.62915206,-0.36591014,1.1826622,0.6988909,1.5785425,1.233481,1.5083103,0.6544924,1.3190213,0.46258005,-0.14813559,0.7451688,1.7997141,0.29135394,0.92350423,0.1888192,-0.023590282,-0.21840313,1.9710337,-0.12209955,0.25764793,-0.21074334,1.6594976,-0.55898017,-0.3194355,1.125616,0.09639563,-0.1744524,-0.57067484,-0.66040015,2.4688425,3.7238019,0.6216998,-0.17634583,-0.09287517,-0.06409853,2.812364,1002601,36061002601,613229524189970431,"POLYGON ((-73.96990692043782 40.72832173497235, -73.97628351746279 40.72726894521429, -73.97824871666947 40.72281094762266, -73.97383822765691 40.71940607116064, -73.9674626554495 40.72045864129475, -73.96549654754912 40.72491630748488, -73.96990692043782 40.72832173497235))"
4,0.29548067,0.65450895,0.1256897,1.5643433,1.1758301,0.03800355,0.6144617,-0.20279905,1.166409,1.6152997,-0.31475085,-0.34090137,0.014739841,1.1064742,1.4678675,-0.2855295,-0.19671457,0.61634034,0.26943904,0.581578,2.2434263,0.6212667,0.48181888,0.64533955,-0.16506088,-0.22208308,1.3056076,1.7594194,0.3402842,-0.3253704,2.163278,1.8509606,-0.61201197,-0.42875373,-0.16557297,0.5696155,2.2716644,-0.6820523,0.59548664,4.2329245,0.44202864,0.7238448,-0.37798354,0.016529435,0.89853334,-0.0133232735,0.55600685,0.94533384,-0.13257605,-0.34127676,0.09985021,0.5945097,3.2979932,-0.027015738,2.0694582,-0.27983057,-0.08834935,-0.0853876,-0.07570055,-0.032222256,0.43800357,2.1218522,-0.3685659,1.0116313,-0.28257427,-0.14212123,1.6660018,-0.43035328,0.084925115,1.3762956,0.5697526,-0.09430805,-0.22889213,0.59269285,2.4318495,-0.3180657,2.7209327,0.9023486,-0.26212293,-0.41450205,0.6957854,1.4712908,0.09369379,0.45303524,1.4899406,1.1117141,-0.046808362,-0.76121724,1.3182727,2.3567615,-0.01904656,-0.6498994,-0.25763148,1.4344996,1.0932689,1.7295463,1.1078717,1.3120419,0.5078349,1.2617271,0.28014743,-0.22940747,0.8934525,1.5339464,0.26968765,1.155389,-0.196775,0.10303266,-0.27010104,1.790735,-0.11122054,0.09786591,-0.32969767,1.7244909,-0.6297654,-0.328186,1.2017696,-0.099837355,-0.29328907,-0.48375207,-0.6667704,2.4615088,3.713683,0.4973392,-0.20478107,-0.13166918,-0.0971565,2.7726288,1002601,36061002601,613229524194164735,"POLYGON ((-73.98069493064781 40.730674080877534, -73.98707165886354 40.72962066784638, -73.98903594902828 40.72516233902856, -73.98462442013124 40.721757754438094, -73.97824871666947 40.72281094762266, -73.97628351746279 40.72726894521429, -73.98069493064781 40.730674080877534))"
5,-0.012715071,0.9712623,0.37845972,1.4291586,0.94447505,0.34349808,0.16961026,-0.10198188,0.99771255,1.0139747,-0.35960624,-0.36939,-0.031303532,1.61909,0.96661425,-0.50216675,-0.06515932,0.46267396,0.32044747,0.7514821,2.4343414,0.3899014,0.10000572,1.3655372,-0.4165696,-0.066490635,1.6139936,2.2387216,-0.22344449,0.18407615,2.4865232,0.9959867,-0.57723415,-0.29045212,-0.2157915,0.6814315,2.6241636,-0.4572881,0.3381517,3.985353,0.5453627,0.94556576,-0.38397172,-0.09457444,0.94294304,0.011843905,0.70374256,0.7312404,0.018846303,-0.21510594,-0.26718798,0.034358054,3.2391877,-0.00870611,2.0033097,-0.40408593,0.7513694,-0.06647739,-0.18460777,-0.12179102,0.32100725,2.023932,0.09970372,1.4393215,-0.34119362,0.23105274,0.18519157,-0.4929098,0.24441311,0.27457625,0.60775083,-0.027852342,0.12379064,0.9086503,1.7952459,-0.39806306,2.5211914,0.6523081,-0.031121612,-0.39473924,1.17436,1.3231298,0.26806298,0.22807138,1.2551601,1.1695243,-0.12436878,-0.8865514,1.7988955,1.4442997,-0.07571817,-0.6106648,-0.3410553,0.69007015,0.32237053,1.7384427,1.2036054,1.9324169,0.61442727,1.5206382,0.5831079,0.18029384,0.4623156,1.509011,0.29963666,0.42942947,0.83123773,-0.043922573,-0.0139029175,1.9379628,-0.18882127,0.2579463,0.1007929,1.6609439,-0.18845204,-0.30959204,1.1269884,0.54294384,-0.068785064,-0.5307568,-0.57122827,2.6110923,3.6906087,0.7999996,-0.25695354,-0.070652336,-0.024141973,2.6164615,1002800,36061002800,613229524202553343,"POLYGON ((-73.97235200870517 40.73618556681812, -73.97872963085321 40.73513255736459, -73.98069493064781 40.730674080877534, -73.97628351746279 40.72726894521429, -73.96990692043782 40.72832173497235, -73.9679407115869 40.73277988005915, -73.97235200870517 40.73618556681812))"
6,0.31937587,0.9222993,0.2928141,1.6174189,0.99710333,0.015044436,0.29037815,-0.09220476,1.1279502,1.1249917,-0.33700365,-0.31742376,0.068643436,1.3731526,1.1935786,-0.38459197,-0.11255301,0.6050664,0.25580618,0.6662316,2.4297585,0.5582693,0.25089225,1.0008453,-0.2760249,-0.139789,1.534347,1.8338073,-0.056495108,-0.06251301,2.417807,1.336746,-0.5696665,-0.39188364,-0.2147583,0.4989117,2.665158,-0.58368635,0.4732796,4.0580635,0.25126636,0.69943583,-0.3783879,-0.02742486,0.99755466,0.003294915,0.3279959,0.851205,-0.09620528,-0.2765657,-0.18001005,0.3417794,3.496264,-0.06068079,2.1939855,-0.37901914,0.36928362,-0.022976145,0.058208585,-0.06719189,0.3631184,2.0892997,-0.09969921,1.2839991,-0.34052637,0.103028774,0.77355814,-0.47604334,0.24477702,0.67780447,0.47801152,0.0058972538,-0.15265207,0.7605444,2.3110812,-0.39618742,2.5270994,0.7209714,-0.20765255,-0.3432936,1.107137,1.4310106,0.16686562,0.34212446,1.1398642,1.1691623,-0.045418635,-0.84841144,1.6739737,1.9190568,-0.062102538,-0.6889743,-0.3431962,1.0783589,0.44749954,1.5739834,1.2559102,1.583207,0.6213008,1.1060034,0.46712774,-0.10645149,0.69728184,1.5778735,0.27949655,0.70921195,0.4046336,-0.011400044,-0.13979124,1.9585629,-0.10174608,0.25015393,-0.0867837,1.7246081,-0.44769496,-0.3656187,1.166386,0.23255439,-0.14673394,-0.59086394,-0.61797637,2.4569576,3.7032657,0.7561835,-0.18662658,-0.053814895,0.09848866,2.702291,1003100,36061003100,613229551394226175,"POLYGON ((-74.0057122762948 40.714138089736366, -74.01208632254425 40.713083467639606, -74.01404758577743 40.7086255833582, -74.00963571187067 40.70522265184767, -74.00326268926804 40.70627705364508, -74.00130051703714 40.71073460722234, -74.0057122762948 40.714138089736366))"
7,0.20795196,0.69278276,0.15975682,1.5995957,1.1337156,0.022438243,0.5223202,-0.13779196,1.1992168,1.5441788,-0.3259414,-0.3129382,0.050360277,1.1603638,1.421083,-0.31019315,-0.19256419,0.59271497,0.33203968,0.6198456,2.3207378,0.6594797,0.37378398,0.7506794,-0.20527166,-0.17595793,1.3416432,1.7386299,0.18984437,-0.28223833,2.2821796,1.7817782,-0.5789465,-0.44780812,-0.17552696,0.51521873,2.3649225,-0.6620996,0.5648959,4.120323,0.3208555,0.7242814,-0.34632674,0.053222977,0.9034726,0.041572027,0.4039211,0.8898486,-0.11886184,-0.35047823,0.046575636,0.53246856,3.3573432,-0.037003465,2.1291072,-0.3155135,-0.030971644,-0.012480326,-0.08503866,-0.03556808,0.43454108,2.1225972,-0.29272407,1.0906296,-0.3055096,-0.10726889,1.4696776,-0.4432894,0.14317659,1.2442193,0.5521458,-0.042983904,-0.15377831,0.61523706,2.3875618,-0.34520423,2.6377134,0.87354773,-0.27318862,-0.40041512,0.8696009,1.4883595,0.12087362,0.42317572,1.3135623,1.1438613,-0.05304943,-0.77998143,1.418575,2.3220983,-0.048224762,-0.6747247,-0.31676015,1.3589544,0.9569578,1.7440432,1.1483699,1.3090869,0.47560126,1.164127,0.33814174,-0.1855066,0.8277464,1.578965,0.2659498,1.0568899,-0.124742106,0.08000016,-0.24091437,1.8157256,-0.08253777,0.17487758,-0.27778172,1.7700741,-0.63058174,-0.35529304,1.1762329,-0.03676808,-0.25091875,-0.50108397,-0.66579086,2.45612,3.8505616,0.58809906,-0.1972839,-0.1155365,-0.036058106,2.6649537,1003100,36061003100,613229551452946431,"POLYGON ((-73.99982435195176 40.727512815145424, -74.00620031653882 40.726458375572506, -74.00816268802471 40.72199986380206, -74.00375000441076 40.71859612245124, -73.99737506414453 40.71965034180397, -73.99541178328332 40.72410852269769, -73.99982435195176 40.727512815145424))"
8,0.38611346,0.7735319,0.24359864,1.6316354,1.0198232,-0.041815527,0.56453943,-0.12940085,1.1514194,1.4581666,-0.34727985,-0.30394834,0.10787372,1.2092499,1.3762892,-0.30425406,-0.19968855,0.6165368,0.31416735,0.6497911,2.3353586,0.7072302,0.27519292,0.7659787,-0.14880055,-0.19380155,1.3939629,1.6403533,0.20549986,-0.24002326,2.341375,1.7584231,-0.55532086,-0.43422085,-0.24553606,0.44037902,2.4259017,-0.6861845,0.557206,4.1229734,0.26650286,0.68492,-0.347157,0.014572812,0.92587525,-0.006312337,0.33316365,0.82704437,-0.15567052,-0.3371075,0.008972943,0.54378116,3.307663,-0.10648323,2.0884652,-0.34315646,-0.035127476,-0.079883724,0.10839102,-0.03729032,0.4325667,2.160143,-0.3237843,1.164726,-0.3699304,-0.09898843,1.4703927,-0.41206512,0.16936603,1.2604351,0.49671525,-0.03779473,-0.15009947,0.64550793,2.5381272,-0.37685573,2.5177035,0.8240346,-0.28444365,-0.36370286,1.0299319,1.4934351,0.113827914,0.43538254,1.2237824,1.1540458,0.044327542,-0.8061517,1.3905442,2.2931979,-0.049206108,-0.6897424,-0.29455912,1.3686161,0.9063776,1.5954876,1.1769044,1.4550385,0.6800778,1.0690039,0.3040728,-0.18941675,0.684341,1.5491363,0.2797481,1.0277404,-0.080087215,0.083698586,-0.2695048,1.8825235,-0.07050352,0.20275304,-0.2517532,1.6823683,-0.6076678,-0.3705725,1.2135315,-0.06439084,-0.16065949,-0.54008573,-0.6435731,2.3306885,3.8705733,0.61014974,-0.13924809,0.00040381402,0.053258073,2.663214,1003100,36061003100,613229551455043583,"POLYGON ((-73.99737506414453 40.71965034180397, -74.00375000441076 40.71859612245124, -74.0057122762948 40.714138089736366, -74.00130051703714 40.71073460722234, -73.99492660078673 40.711788606426545, -73.99296341989005 40.71624630826328, -73.99737506414453 40.71965034180397))"
9,0.3987475,0.8758705,0.2691949,1.6979284,1.0186992,-0.048410468,0.467494,-0.13018149,1.1677132,1.3514223,-0.33986035,-0.29740405,0.09833723,1.2392443,1.327721,-0.3259579,-0.18191437,0.5846912,0.29237854,0.64012486,2.3041053,0.6661415,0.2916758,0.82876563,-0.17669831,-0.1742711,1.4549596,1.6831982,0.07643889,-0.16775875,2.4003158,1.6188788,-0.551497,-0.42949522,-0.2519633,0.50135165,2.6029477,-0.64719325,0.5208039,4.079292,0.22213131,0.64719194,-0.3435585,0.021126185,0.9336806,0.009885807,0.21880585,0.74216473,-0.1681354,-0.30985636,-0.06480351,0.5280814,3.3350863,-0.10064993,2.147689,-0.37067258,0.08142513,-0.058517832,0.14083624,-0.033604495,0.48652804,2.086824,-0.2362306,1.1847066,-0.3121204,-0.03519179,1.281077,-0.41421217,0.18254074,1.0779113,0.42616937,-0.029964507,-0.19265866,0.6830127,2.4419084,-0.38374448,2.4888287,0.7729832,-0.26719752,-0.36368185,1.0282202,1.4848124,0.14482304,0.5027306,1.179415,1.1823547,0.056727793,-0.8129155,1.4823546,2.1890812,-0.050058924,-0.6939202,-0.31373602,1.2796252,0.7273623,1.5915229,1.2003101,1.5295416,0.65490353,0.9615892,0.3861782,-0.15843156,0.7617919,1.5279549,0.25787267,0.8846407,0.037909314,0.044353858,-0.22782184,1.8433456,-0.0666178,0.26230717,-0.16627361,1.6888033,-0.563096,-0.3914602,1.2955152,-0.011550561,-0.17957577,-0.5565368,-0.6389097,2.3119261,3.8237672,0.6655565,-0.09365368,-0.019325487,0.15058821,2.6398296,1003100,36061003100,613229551459237887,"POLYGON ((-74.00816268802471 40.72199986380206, -74.01453775822581 40.72094502133425, -74.01649912074949 40.71648665791671, -74.01208632254425 40.713083467639606, -74.0057122762948 40.714138089736366, -74.00375000441076 40.71859612245124, -74.00816268802471 40.72199986380206))"
