eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,TRACTCE,GEOID,cell,geometry
2,2.490726,-8.77023,-1.384521,4.2151785,4.420848,1.830637,5.2958446,-3.1643445,0.2908235,4.2647114,5.2013783,4.350329,3.0466802,3.223598,-4.1797786,6.266552,1.5509384,-2.4190257,-0.53329533,-7.313209,-0.8029411,7.3052163,3.546717,1.852592,0.84302557,-0.03722301,-5.6721706,5.6105833,5.2483907,1.3187749,5.388371,-2.7151952,1.3201221,-1.6343135,2.261168,3.6820893,1.1065812,-3.615821,-2.2226832,-1.5760498,-4.362321,2.9245806,0.9787366,4.867118,-2.2387812,0.19487318,5.923957,3.1539323,1.6668502,2.9548304,7.275504,-7.3434577,-1.9310756,-1.2909738,-0.62603384,0.92459965,-2.4665577,-1.5623174,-1.3624653,7.0753145,1.4996549,5.8105373,6.8129406,1.639615,807900,17031807900,613164982734946303,"POLYGON ((-87.74484148371776 42.00275715615024, -87.75089075031312 42.000942903105795, -87.75152859466635 41.99628458521589, -87.74611833330113 41.993440575525, -87.74006979095614 41.99525437023554, -87.73943078575807 41.99991263291808, -87.74484148371776 42.00275715615024))"
5,9.381408,-36.303135,-5.062873,16.305416,15.895381,8.539014,18.272285,-11.345322,3.7288072,18.186756,19.114214,14.47202,11.374885,8.6476755,-14.44109,23.215473,6.245598,-9.583192,0.30141255,-25.909204,-2.9482841,29.846844,12.814296,9.012169,-1.0845336,-2.8151886,-21.351847,17.18016,17.456081,4.462285,17.005882,-11.253572,5.9295545,-6.524594,7.2189274,13.8428755,8.881301,-14.847565,-7.5644464,-7.0321712,-16.68385,13.2591505,4.1465225,15.105744,-9.098355,-0.58801365,23.370604,9.104384,7.186507,11.747527,29.422953,-25.113197,-8.688048,-4.152617,-2.190134,-0.47384697,-10.481351,-7.9487047,-7.5682135,26.651995,7.327081,23.661316,26.371176,10.027859,808002,17031808002,613164982376333311,"POLYGON ((-87.70853398706004 42.01363739683126, -87.71458665254556 42.01182465214625, -87.71522837085253 42.007165713510155, -87.70981858498062 42.00431957550585, -87.70376664532351 42.006131862234774, -87.70312376574225 42.01079074487131, -87.70853398706004 42.01363739683126))"
6,1.9169896,-7.984241,-1.1895777,3.455847,3.4222414,1.7591302,4.076362,-2.4354928,0.8730593,4.068801,4.25868,3.2548697,2.469078,2.089315,-3.354157,5.1494856,1.4001211,-2.1367288,-0.22778618,-5.8375583,-0.44723842,6.312276,3.057849,2.0199666,0.117226355,-0.37295833,-4.850763,4.2103777,4.141275,0.8379999,4.04573,-2.6135511,1.0938585,-1.4019102,1.7897396,3.0903482,1.6017027,-3.1415172,-1.6181065,-1.1633801,-3.6573474,2.7578423,1.103257,3.3274553,-2.0033016,0.05995436,5.059191,2.1028178,1.2507582,2.8324256,6.2377076,-5.994864,-1.881798,-1.242806,-0.4896859,0.26235846,-2.2880437,-1.8826698,-1.5626237,5.8517365,1.4610521,5.0962787,5.9226155,2.0174031,808002,17031808002,613164982562979839,"POLYGON ((-87.70376664532351 42.006131862234774, -87.70981858498062 42.00431957550585, -87.71046068787395 41.999661058345275, -87.70505201202344 41.99681488396876, -87.69900079812088 41.99862671285715, -87.69835753434667 42.00328517390983, -87.70376664532351 42.006131862234774))"
8,6.1501203,-22.978462,-3.1174085,10.339138,10.325094,5.4330845,11.823911,-7.382249,2.1338763,11.406096,12.335924,9.423264,7.3001246,5.44055,-9.185169,14.824484,3.8491378,-6.0981007,0.47325626,-16.453815,-2.1149216,19.062593,8.193866,5.488363,-0.66778034,-1.8476769,-13.469873,11.10573,11.053862,2.9574075,10.870291,-7.0564847,3.9195411,-3.9995675,4.527176,8.888092,5.73591,-9.587722,-4.8148108,-4.6993613,-10.757364,8.375999,2.413447,9.853202,-5.877203,-0.68519384,15.04277,5.9331756,4.7647347,7.28824,18.776749,-15.918037,-5.564044,-2.516714,-1.548039,-0.3461038,-6.868567,-4.7615924,-4.6590347,16.982464,4.4959135,14.961597,16.533457,6.3202553,808002,17031808002,613164982820929535,"POLYGON ((-87.71046068787395 41.999661058345275, -87.71651141570094 41.99784862328057, -87.71715274232177 41.99319047176945, -87.71174450172529 41.99034481123427, -87.70569449922162 41.992156788421646, -87.70505201202344 41.99681488396876, -87.71046068787395 41.999661058345275))"
10,77.6706,-309.33954,-43.41422,138.00134,133.64056,72.37378,151.42743,-94.64083,33.11506,157.16005,159.81894,122.23218,94.376915,70.31651,-121.034,195.71683,55.01333,-80.72063,3.7241044,-219.07089,-24.57287,253.03088,108.51115,79.09663,-12.370903,-26.365671,-183.30777,144.27817,146.16338,37.529198,141.94965,-97.266205,53.042645,-55.28597,60.748493,117.42034,79.54019,-125.76617,-62.960342,-60.130417,-138.51772,112.67643,36.273235,124.275764,-78.9915,-4.7046504,198.20528,73.27711,60.0589,101.05059,251.46439,-210.63937,-73.69114,-34.148426,-18.465569,-6.7912583,-91.465096,-69.17169,-66.90492,226.97733,63.05829,201.42764,221.77171,87.522514,770602,17031770602,613181774582775807,"POLYGON ((-87.90050954993183 42.00957213575412, -87.90655121869392 42.0077498702594, -87.90717319312664 42.00309122574869, -87.90175466049678 42.00025489846404, -87.89571371088545 42.00207670362196, -87.89509057478408 42.006735296348495, -87.90050954993183 42.00957213575412))"
11,116.33263,-466.5489,-65.74978,208.25844,200.94281,108.817795,227.76895,-141.82579,50.58909,237.15392,240.05,183.86713,141.81927,105.66279,-182.54677,294.23657,82.9318,-120.999176,4.68987,-329.90198,-37.01995,380.30692,163.40288,119.172226,-18.409151,-39.546795,-276.3757,217.33282,220.69276,56.579365,213.34772,-146.63438,79.294235,-83.524605,92.084465,176.6353,119.560616,-188.76292,-94.46372,-89.46173,-207.92932,169.87132,55.315315,186.37558,-118.911995,-6.019821,297.69196,110.09541,89.53428,152.91765,378.302,-317.88513,-110.83939,-52.194614,-27.657013,-9.997472,-137.59029,-104.80751,-101.13613,341.61188,95.29436,303.60205,335.08295,132.2574,770602,17031770602,613181774597455871,"POLYGON ((-87.8842544021533 42.001061024781826, -87.89029584562178 41.99923982392355, -87.89091937213452 41.99458165123513, -87.8855026164016 41.99174473149822, -87.87946189237422 41.99356547228585, -87.87883720466965 41.9982235928282, -87.8842544021533 42.001061024781826))"
12,0.42609376,-1.1975791,-0.20714965,0.5751889,0.6510299,0.084194236,0.8280735,-0.16032575,0.41015583,0.53050685,0.6599785,0.55128545,0.39701247,0.08864486,-0.65092415,0.7412528,-0.025608994,-0.14045724,-0.38581276,-0.93101305,-0.17826106,0.7128095,0.48304248,0.13249871,0.23915061,0.310789,-0.60478324,0.85536695,0.88445103,0.2642188,0.635703,-0.3376169,-0.36236054,-0.2710375,0.5020841,0.13418573,-0.02887752,-0.28545707,-0.21672177,0.2677365,-0.47726747,0.55519056,0.33341873,0.4151281,-0.24824902,0.043029122,0.5576016,0.44964653,-0.024520814,0.5508182,0.7222349,-1.2564394,-0.101734444,-0.4538318,0.0034043342,0.26800236,0.042726025,-0.30276495,-0.09235266,0.7163291,0.20079489,0.81712466,1.2660017,0.22152832,770602,17031770602,613181774601650175,"POLYGON ((-87.89571371088545 42.00207670362196, -87.90175466049678 42.00025489846404, -87.90237702573246 41.99559667388182, -87.89695960266475 41.99276030629849, -87.89091937213452 41.99458165123513, -87.89029584562178 41.99923982392355, -87.89571371088545 42.00207670362196))"
16,1.8257766,-6.8351855,-0.9733423,2.806169,2.8875961,1.6765834,3.6181889,-2.5020728,0.6420442,3.4402087,3.8901396,2.9422045,2.0897653,1.9653378,-2.8950665,4.7014537,1.2605687,-2.087266,0.19945988,-5.06918,-0.44767553,5.884747,2.976439,1.8163759,-0.088522494,-0.5718996,-4.27948,3.5399954,3.2859337,0.7263082,3.6683567,-2.306304,1.3501668,-1.043348,1.2310135,2.8620327,1.6970509,-3.124855,-1.3318942,-1.4009644,-3.681941,2.3429174,0.7472781,3.1075568,-2.0172894,-0.22370568,4.690492,2.0543716,1.2877798,2.2622576,5.906494,-5.1285105,-1.9146,-1.0012627,-0.5284008,0.042714953,-2.344209,-1.5533093,-1.2740228,5.3084435,1.1609972,4.2788343,4.8542466,1.7623605,841200,17031841200,613164980021231615,"POLYGON ((-87.67728626489678 41.86234734907869, -87.68332082015826 41.8605405788784, -87.68396363575181 41.855890175758475, -87.67857304970298 41.85304659954364, -87.6725392165856 41.85485291329939, -87.67189524740523 41.859503259662006, -87.67728626489678 41.86234734907869))"
18,2.0626352,-8.148009,-1.1499999,3.4653025,3.5094893,1.9634963,4.2370934,-2.7311013,0.7694623,4.0414343,4.485428,3.3774202,2.547625,2.2406137,-3.3808975,5.346301,1.4293492,-2.316838,0.05920536,-5.8860703,-0.5414821,6.6838765,3.2002661,2.0418317,0.017932577,-0.5564177,-4.8857822,4.1741347,4.0642295,0.8434069,4.0690675,-2.6098466,1.3178179,-1.3728644,1.6712418,3.3259456,1.7563864,-3.4382102,-1.7027556,-1.5098242,-4.004317,2.8256276,0.9642593,3.5586553,-2.100664,-0.11198414,5.333914,2.2742963,1.4678102,2.7302995,6.566479,-6.0428405,-2.065131,-1.126696,-0.6081524,0.12391776,-2.4705412,-1.8454931,-1.5702866,6.0462174,1.4330149,5.1030354,5.8872895,2.0702069,831900,17031831900,613164976254746623,"POLYGON ((-87.67043706448018 41.95360392809145, -87.67648392541058 41.95179484381982, -87.67712871253757 41.94713928084488, -87.67172779689798 41.94429285895344, -87.66568166120312 41.94610148619323, -87.66503571594485 41.95075699230364, -87.67043706448018 41.95360392809145))"
27,6.11657,-23.977598,-3.3860085,10.820771,10.393499,5.5700574,12.145135,-7.3792067,2.62266,11.96668,12.511869,9.524197,7.454783,5.729842,-9.63981,15.214414,4.0099483,-6.211146,0.0023475438,-17.162336,-1.9805126,19.53415,8.5342045,5.932797,-0.59232146,-1.7409067,-14.04886,11.370756,11.66146,2.9737635,11.178306,-7.392935,3.750253,-4.4232297,4.920075,9.002597,5.7357717,-9.706826,-4.9043174,-4.2821784,-11.0297985,8.802735,2.8982565,9.921708,-5.9195547,-0.2432259,15.161452,6.1327896,4.5512533,7.8182154,19.306974,-16.871613,-5.6188183,-2.9606564,-1.4327163,-0.22034273,-6.8065205,-5.3005276,-4.976629,17.481747,4.8604765,15.5855875,17.579374,6.54094,842300,17031842300,613164976185540607,"POLYGON ((-87.66286594111459 41.92463575946146, -87.66890941903583 41.92282789797201, -87.6695545771894 41.91817396908059, -87.6641574141081 41.9153279586701, -87.6581146607695 41.917135363437126, -87.65746834596209 41.92178923528445, -87.66286594111459 41.92463575946146))"
