BoroCT2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1000201,0.23269841,0.6218531,1.3471957,0.8439657,0.3266635,1.451267,0.666316,1.3940321,1.4497916,0.32486847,1.2351165,1.7530482,0.27267662,1.820252,0.36238095,0.5407253,0.36935908,1.7438682,1.0601021,0.5530315,2.4476233,0.48468584,0.26098055,0.8550031,0.68355775,0.9036907,0.3410968,1.4277897,1.6723667,0.59423304,1.140055,1.4686439,1.2756972,0.91559756,0.68263197,0.6798859,0.6918108,0.6341098,0.51192343,0.32754263,0.90129757,1.6320634,0.9001531,0.7151159,1.1483161,0.5354711,1.2982808,0.2681059,0.75304365,0.5154866,1.9886746,1.2480949,0.8491477,0.7978335,0.4418139,1.2845842,1.4156744,0.8002543,1.4666015,0.84032404,0.9964838,1.5237082,0.60161746,0.49017176
1000202,0.15802076,0.66849786,1.3654989,0.7006856,0.41548753,1.380682,0.6815731,1.3887208,1.2914016,0.22213247,1.1536392,1.595407,0.20741493,1.8742322,0.30395794,0.37548712,0.32463822,1.742424,0.99834013,0.5110487,2.266187,0.2805978,0.20929295,0.82373923,0.5550554,0.8468832,0.31685746,1.3707067,1.4259564,0.5753062,1.1084212,1.2543403,1.2171485,0.821015,0.7065641,0.6450288,0.58471453,0.5952596,0.4973688,0.35118866,0.8690853,1.5191193,0.7640725,0.703804,1.0612121,0.581789,1.2547214,0.27951288,0.72681415,0.4209417,1.6227223,1.0712898,0.7814917,0.79683185,0.46341267,1.1955117,1.3652806,0.7125343,1.4529136,0.8462,0.9749836,1.3816143,0.6697575,0.5235746
1000500,0.19310412,0.584491,1.381461,0.76640177,0.37200317,1.4820049,0.7558464,1.4610573,1.2696424,0.2953703,1.1074381,1.774287,0.26481715,1.8868725,0.26709372,0.48475704,0.2863298,1.7870352,1.080258,0.45940667,2.3201532,0.40989432,0.26229346,0.81253093,0.58919126,0.85679686,0.31494206,1.3902239,1.4653981,0.67159057,1.0464844,1.3262035,1.136699,0.82766783,0.7969781,0.56118834,0.5375155,0.6110506,0.50979966,0.41455495,0.9242557,1.5510609,0.8276663,0.6298804,1.0452261,0.6101897,1.4712745,0.28926086,0.8377928,0.5547968,1.7288775,1.0968542,0.73608017,0.68821216,0.49981168,1.2520001,1.4057623,0.72630143,1.550077,0.755354,0.91282415,1.4241157,0.7808717,0.6224352
1000600,0.18372925,0.64964426,1.4232639,0.6849948,0.34613138,1.4486073,0.69683033,1.4292499,1.315556,0.30044562,1.1233927,1.6368538,0.220667,1.9464829,0.26112926,0.36916685,0.27854642,1.801811,1.0088152,0.49438724,2.3431695,0.33569095,0.26763713,0.82152224,0.56553644,0.7712311,0.32055223,1.4118011,1.4490862,0.5750104,1.1376003,1.2943974,1.2186943,0.82410634,0.722197,0.6232989,0.4452904,0.5772834,0.49992633,0.35479617,0.863466,1.5639827,0.8068609,0.72813404,1.0587875,0.6007168,1.3419156,0.2900743,0.777193,0.51032495,1.6814322,1.0665679,0.6666416,0.6778023,0.449072,1.2316453,1.4344783,0.71791244,1.5577568,0.85626817,1.0030514,1.4054773,0.6845788,0.5892012
1000700,0.20592669,0.7173728,1.5446019,0.821548,0.37019232,1.5239851,0.6200035,1.5586815,1.3772458,0.2850731,1.1445735,1.4993505,0.23894927,1.9896086,0.34785625,0.40675074,0.3771554,1.9046457,0.9390167,0.4890805,2.4369488,0.33257374,0.28745937,0.88172936,0.6076642,0.777298,0.33597142,1.5147605,1.4507933,0.6097898,1.1993138,1.3796806,1.2983042,0.8205098,0.6355039,0.58273387,0.47525007,0.66050965,0.50899625,0.33007854,0.9054407,1.6629244,0.8251527,0.7944212,0.9981506,0.58142895,1.1243625,0.32424077,0.75737,0.57260174,1.7107222,1.0823882,0.6707854,0.6491932,0.52038527,1.3404855,1.5418953,0.6988518,1.6638066,0.90235746,1.0969269,1.4169669,0.6058637,0.67997056
1000800,0.19691673,0.59650433,1.3802944,0.7690964,0.32668403,1.4396363,0.7680983,1.433296,1.2928575,0.27118272,1.1071274,1.7541884,0.26182422,1.8730371,0.28564718,0.48465407,0.32160208,1.7416457,1.0624123,0.52618814,2.3066747,0.4056412,0.23748997,0.88403785,0.544385,0.9275259,0.37865174,1.3618857,1.4789741,0.6388917,1.083462,1.264483,1.1302085,0.8789991,0.83672756,0.53755987,0.48453894,0.6160223,0.5047453,0.39493233,0.9043058,1.519456,0.84435344,0.6735506,1.1166072,0.59694076,1.4549348,0.3118031,0.7786388,0.52151865,1.7678393,1.0813692,0.62830794,0.59580505,0.47380647,1.2081867,1.3872029,0.7368387,1.5054727,0.79171944,0.9509576,1.4324119,0.7674491,0.6629192
1000900,0.208205,0.70939046,1.2441206,0.7495234,0.34724325,1.2834812,0.70190024,1.2655029,1.337285,0.28842458,1.1049354,1.6049852,0.23898399,1.703667,0.29253757,0.4088324,0.32753074,1.5963237,1.0220217,0.53452665,2.1292567,0.38713312,0.24886252,0.8485074,0.5730059,0.71395653,0.36691734,1.2573533,1.4442965,0.58679616,1.1882641,1.1203165,1.2721846,0.7755979,0.7038591,0.58212036,0.45218754,0.63215786,0.47586602,0.37768242,0.85286397,1.3848546,0.78676856,0.80019397,0.9608951,0.5923761,1.3366024,0.31377992,0.7944964,0.5105672,1.7201687,1.0668718,0.6605889,0.7142636,0.4744015,1.0849698,1.2586291,0.6803286,1.3561609,0.91690016,1.0799966,1.3715901,0.66291314,0.668141
1001001,0.38376004,0.6175142,2.1509502,0.78178585,0.15042241,1.9698062,0.55266637,1.948699,1.6609827,0.5184996,1.4628997,1.6920626,0.23318173,2.2488108,0.6253659,0.3894513,0.6778755,2.2603676,1.0694418,0.47752607,3.4633465,0.45085102,0.089112595,0.91940624,0.89060295,0.73011434,0.3661973,2.212145,2.0065134,0.44183785,0.87284666,1.7727096,1.2079139,1.1785855,0.6790433,0.4612568,0.36827767,0.6684075,0.564612,0.4810534,0.46071807,2.3071978,1.327244,0.86745965,1.2659487,0.7245364,1.2036314,0.4125595,0.7034604,0.7272109,2.2938402,1.3719745,0.44926107,0.18326858,0.40095928,1.8255556,2.0673249,0.8794974,2.2259688,0.85339135,1.0144067,1.945231,0.69803303,0.39260498
1001002,0.18737368,0.7594618,1.2281072,0.94137394,0.40101618,1.2823479,0.79934525,1.3534284,1.3462367,0.33646125,1.0617118,1.7140982,0.15082303,1.842872,0.3755564,0.4816634,0.37216026,1.6759408,1.1640203,0.5074769,2.0965066,0.2928192,0.31213224,0.77152765,0.6583906,0.7914407,0.3647747,1.3121598,1.2573782,0.643191,1.3355851,1.3193706,1.4261315,0.70253503,0.51591384,0.63321525,0.52606004,0.6487575,0.473534,0.37713253,1.0302906,1.4914515,0.73661476,0.83485764,0.8790583,0.59685457,1.4798161,0.32705173,0.6782622,0.5520892,1.5352873,1.0378963,0.7657892,0.69006914,0.56703365,1.1972466,1.2650971,0.59547645,1.3123062,0.9665078,1.2104471,1.181647,0.86893916,0.6443169
1001200,0.17038329,0.51007056,1.58519,0.84365237,0.40585086,1.5727924,0.6866704,1.5710533,1.0141501,0.28521997,0.96831757,1.48616,0.26408353,2.2228494,0.3937236,0.4613815,0.36573416,1.9999454,1.0017841,0.61698925,2.3329039,0.31253624,0.24972722,0.9419124,0.6227362,0.8570044,0.40097496,1.569541,1.2924964,0.588568,1.0177293,1.4087467,0.9765047,0.78502023,0.6601807,0.7218939,0.7933074,0.64942443,0.4138773,0.34057388,1.0489507,1.7071633,0.7191312,0.5537261,0.98854184,0.54613817,1.2127895,0.35800597,0.6905191,0.46640754,1.6370081,0.9896705,0.827556,0.86973447,0.54034203,1.3519852,1.5893421,0.6916646,1.6864908,0.6607686,0.73705685,1.2454736,0.6631992,0.54368204
