eID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,BoroCT2020,GEOID,cell,geometry
0,-0.3442518,-0.2987081,0.29472253,-0.14175193,-0.2076783,-0.09894325,0.49103346,-0.28936136,0.010102304,0.100815095,-0.25855756,-0.10237005,0.05783076,-0.3149421,-0.029587649,-0.44005126,-0.15355578,0.1953767,0.185487,-0.34708613,0.34146005,0.02296274,0.23719151,0.26588827,-0.39649418,0.20297907,0.1325289,0.010847436,0.3185555,0.46448267,-0.090595715,0.21065432,-0.016677093,-0.08401623,-0.4676946,0.10562079,-0.21439561,0.073373914,-0.29679272,-0.10840934,0.23106429,0.3155776,0.18584467,-0.15717004,-0.11359265,0.30162847,0.4909236,0.13846992,-0.03255238,0.47715834,0.06595133,0.17904896,0.17147617,0.3277822,0.15176097,-0.066590145,0.3707302,-0.17807662,0.11696879,0.08949091,-0.06120419,-0.014587859,0.010121746,0.24384736,1001401,36061001401,613229524196261887,"POLYGON ((-73.97824871666947 40.72281094762266, -73.98462442013124 40.721757754438094, -73.98658861001985 40.71729990459654, -73.98217800523803 40.71389557913704, -73.97580332622488 40.71494855254655, -73.97383822765691 40.71940607116064, -73.97824871666947 40.72281094762266))"
1,-0.10751778,-0.4464849,0.40300974,-0.13135642,-0.25622666,-0.26703766,0.23274773,0.08210796,0.24302974,-0.15055813,-0.36642748,-0.4437105,0.029885275,0.17759937,0.282695,-0.27221158,0.035554867,0.48203745,-0.16893612,-0.12350425,0.30752322,0.018848918,0.51872736,0.24906266,-0.48217008,0.23949218,0.27386305,0.2134621,0.18030342,0.5216084,0.06586069,-0.26934025,-0.23719418,-0.435423,-0.4606787,0.4270941,-0.107895814,0.07990307,-0.004658355,0.25536466,0.4357575,0.46783814,-0.16364743,-0.0071924212,-0.21137463,-0.071618214,0.51346993,-0.0882441,-0.24034265,0.41613743,-0.2860169,-0.21700495,0.3584034,0.062983744,-0.11379858,0.33878452,0.046167873,0.010518053,0.14685017,0.23312032,-0.15612772,-0.3281237,0.33680654,0.062285263,1001401,36061001401,613229551482306559,"POLYGON ((-73.98658861001985 40.71729990459654, -73.99296341989005 40.71624630826328, -73.99492660078673 40.711788606426545, -73.99051588058998 40.70838483194655, -73.98414209479957 40.70943820835379, -73.98217800523803 40.71389557913704, -73.98658861001985 40.71729990459654))"
2,-0.07568727,-0.23870529,0.22674866,-0.013363439,-0.00802402,-0.1396408,0.07561385,0.107897945,0.053340595,-0.018698053,-0.11175652,-0.3456333,0.08212934,0.21546437,0.19193754,-0.1411018,0.059271347,0.2744806,-0.11301171,-0.030290036,0.19824396,-0.05525549,0.3238104,0.033849448,-0.18379118,0.15027542,0.2617309,0.08357337,0.10135714,0.26346412,0.037180047,-0.22150822,-0.104797535,-0.20118149,-0.2025749,0.2743792,-0.011699936,-0.002756688,-0.00038056192,0.20192294,0.16382803,0.3042719,-0.10304539,0.047190856,-0.19200711,-0.03268191,0.2817865,-0.056780934,-0.16803783,0.20407256,-0.19285117,-0.18814982,0.19020547,0.07062682,-0.040755063,0.2831513,0.021293208,0.044968154,0.008590486,0.10931251,0.043682694,-0.23969279,0.19478616,0.041408736,1001402,36061001402,613229551463432191,"POLYGON ((-73.98903594902828 40.72516233902856, -73.99541178328332 40.72410852269769, -73.99737506414453 40.71965034180397, -73.99296341989005 40.71624630826328, -73.98658861001985 40.71729990459654, -73.98462442013124 40.721757754438094, -73.98903594902828 40.72516233902856))"
3,-0.5349822,-0.28527066,0.28450528,-0.19157876,-0.28960964,-0.048163693,0.74702823,-0.5646259,-0.08512105,0.22861087,-0.29488155,0.12650736,0.029980412,-0.7101129,-0.24875572,-0.62697774,-0.30643266,0.08961896,0.42511562,-0.571925,0.4265662,0.05470979,0.09121393,0.3717997,-0.45270854,0.21763714,0.02955545,-0.06907838,0.47305274,0.5359368,-0.19950044,0.5572023,0.05598766,0.08809785,-0.594833,-0.10237447,-0.32470816,0.09121523,-0.53586,-0.35007954,0.20097019,0.26147947,0.4190917,-0.31333196,-0.030583337,0.53971905,0.59475183,0.29473364,0.11120071,0.60169137,0.26481086,0.4728859,0.09869898,0.51816803,0.3349837,-0.35430503,0.6055815,-0.34415406,0.15109043,0.022392571,-0.085733354,0.19183427,-0.19297299,0.395996,1002601,36061002601,613229524189970431,"POLYGON ((-73.96990692043782 40.72832173497235, -73.97628351746279 40.72726894521429, -73.97824871666947 40.72281094762266, -73.97383822765691 40.71940607116064, -73.9674626554495 40.72045864129475, -73.96549654754912 40.72491630748488, -73.96990692043782 40.72832173497235))"
4,0.0020246704,-0.021819048,0.04396577,0.012556325,0.030448547,-0.09670384,-0.064357735,0.13407439,0.007849048,-0.08498466,-0.033569574,-0.2287549,0.049203232,0.23205276,0.11264918,0.013749501,0.051471435,0.104859926,-0.11138721,0.052572712,0.049364045,-0.030020557,0.19893482,-0.070423536,-0.048628822,0.03550677,0.14492534,0.018234015,-0.026515355,0.064732455,0.0761625,-0.21743992,-0.082261845,-0.10822711,-0.0067558247,0.1852233,0.018668551,-0.028434543,0.059404936,0.17400454,0.082873195,0.23595878,-0.12613261,0.071259245,-0.10924802,-0.083237484,0.030164374,-0.06889738,-0.1520556,0.0090906955,-0.18537971,-0.15492496,0.11060769,-0.06818491,-0.09965289,0.25317436,-0.094703004,0.09592909,-0.047972675,0.042107992,-0.016170397,-0.18132491,0.16279708,-0.027047347,1002601,36061002601,613229524194164735,"POLYGON ((-73.98069493064781 40.730674080877534, -73.98707165886354 40.72962066784638, -73.98903594902828 40.72516233902856, -73.98462442013124 40.721757754438094, -73.97824871666947 40.72281094762266, -73.97628351746279 40.72726894521429, -73.98069493064781 40.730674080877534))"
5,0.025774268,-0.19400883,0.20540145,-0.078404985,-0.13725473,-0.13683188,0.022105724,0.115993194,0.14123125,-0.11240804,-0.1647053,-0.25260392,0.019090354,0.17134404,0.17784907,-0.08735714,0.051546797,0.2479513,-0.12670413,0.014949981,0.118956625,-0.019035647,0.26009652,0.10275234,-0.22747341,0.089915596,0.12494832,0.13005361,0.0060482374,0.21095282,0.07384241,-0.21283491,-0.14733419,-0.25319389,-0.19872653,0.25115725,-0.0019028682,0.05229595,0.08097019,0.16607247,0.22375812,0.20206162,-0.1338123,0.03771261,-0.084780216,-0.117976286,0.2257528,-0.09465762,-0.16652775,0.15612046,-0.20682417,-0.17338511,0.20901586,-0.059150882,-0.1190441,0.20562983,-0.05311404,0.049610823,0.09559436,0.14365517,-0.1256564,-0.17235617,0.21002603,-0.009682185,1002800,36061002800,613229524202553343,"POLYGON ((-73.97235200870517 40.73618556681812, -73.97872963085321 40.73513255736459, -73.98069493064781 40.730674080877534, -73.97628351746279 40.72726894521429, -73.96990692043782 40.72832173497235, -73.9679407115869 40.73277988005915, -73.97235200870517 40.73618556681812))"
6,-0.003590942,-0.34553114,0.30943367,-0.060874637,-0.14953512,-0.23685852,0.07550233,0.19462186,0.20459686,-0.16909629,-0.26314023,-0.45248422,0.021177927,0.31815165,0.29108095,-0.13577422,0.09499895,0.4226844,-0.22770387,-0.0045329193,0.20537406,-0.0024603955,0.45976242,0.12250823,-0.34083113,0.17065044,0.2646549,0.19404712,0.086501986,0.36430308,0.1083461,-0.36052194,-0.24245708,-0.4102344,-0.28843543,0.40127537,-0.03854833,0.04170805,0.09054275,0.31770954,0.32643816,0.3910307,-0.22814573,0.06109582,-0.19836338,-0.15972424,0.34090108,-0.13519023,-0.24682897,0.2575421,-0.31344256,-0.2936115,0.31288603,-0.040282458,-0.16750258,0.40101,-0.07305564,0.08013714,0.062776595,0.18166594,-0.113205604,-0.33647743,0.33440554,-0.01579051,1003100,36061003100,613229551394226175,"POLYGON ((-74.0057122762948 40.714138089736366, -74.01208632254425 40.713083467639606, -74.01404758577743 40.7086255833582, -74.00963571187067 40.70522265184767, -74.00326268926804 40.70627705364508, -74.00130051703714 40.71073460722234, -74.0057122762948 40.714138089736366))"
7,-0.011348035,-0.16693096,0.16305196,-0.05236184,-0.11894787,-0.18731317,0.034051765,0.14007224,0.1185495,-0.1584704,-0.18509263,-0.31102237,-0.006707815,0.23598471,0.16775642,-0.057867028,0.050411176,0.23826869,-0.15186365,-0.011836543,0.11490742,0.01599932,0.3158667,0.058014695,-0.22476378,0.087405056,0.15822403,0.08686405,0.025953986,0.20972703,0.108385295,-0.24811839,-0.18025097,-0.2632007,-0.1682977,0.27058116,-0.0480507,0.013648345,0.05708814,0.22588117,0.22467993,0.32535723,-0.17390645,0.039355744,-0.12529856,-0.11380231,0.17228669,-0.0843557,-0.19768327,0.13360256,-0.22763029,-0.19472423,0.22342665,-0.08215153,-0.15963551,0.2957784,-0.09341396,0.084450826,0.020139014,0.10691116,-0.12150871,-0.23576707,0.24327534,-0.016699472,1003100,36061003100,613229551452946431,"POLYGON ((-73.99982435195176 40.727512815145424, -74.00620031653882 40.726458375572506, -74.00816268802471 40.72199986380206, -74.00375000441076 40.71859612245124, -73.99737506414453 40.71965034180397, -73.99541178328332 40.72410852269769, -73.99982435195176 40.727512815145424))"
8,0.034984577,-0.49025384,0.4363718,-0.098692715,-0.21179749,-0.32284418,0.052592758,0.29708174,0.32812324,-0.2576809,-0.3600664,-0.62980384,0.02457746,0.47502264,0.43850335,-0.15181333,0.15245356,0.6055702,-0.35626188,0.026287114,0.26918772,-0.0029945304,0.639937,0.17971234,-0.4642971,0.23690124,0.35929838,0.2949263,0.08593692,0.4989482,0.15082662,-0.53343105,-0.33191827,-0.5861815,-0.39780223,0.5729809,-0.026581308,0.06037448,0.16942228,0.4543169,0.47657308,0.5128143,-0.34709817,0.09341143,-0.2696806,-0.27156124,0.4760274,-0.21093611,-0.34459117,0.34010753,-0.46099472,-0.43213403,0.4372528,-0.081314966,-0.2545593,0.5604409,-0.13687898,0.12371174,0.11623714,0.27524716,-0.160493,-0.48790523,0.48566687,-0.049604867,1003100,36061003100,613229551455043583,"POLYGON ((-73.99737506414453 40.71965034180397, -74.00375000441076 40.71859612245124, -74.0057122762948 40.714138089736366, -74.00130051703714 40.71073460722234, -73.99492660078673 40.711788606426545, -73.99296341989005 40.71624630826328, -73.99737506414453 40.71965034180397))"
9,0.06626409,-0.30873725,0.25143445,-0.022187619,-0.13851222,-0.26409245,-0.011820511,0.28842714,0.22205253,-0.23343885,-0.25936326,-0.48174596,-0.014378001,0.4208286,0.30948585,-0.05387952,0.12772511,0.41879082,-0.2966398,0.057608012,0.14626054,0.00065269135,0.4642847,0.06470128,-0.29948205,0.14340775,0.2550055,0.210422,0.035001915,0.2933086,0.16073908,-0.44899055,-0.29851642,-0.4432577,-0.2123385,0.41670594,-0.0072796377,0.025670173,0.15670751,0.39163184,0.3245199,0.39059928,-0.300458,0.09036246,-0.1757292,-0.25436118,0.25068688,-0.17550944,-0.27860382,0.17539202,-0.3768438,-0.35864535,0.31302807,-0.14349936,-0.23834798,0.4804484,-0.18988529,0.13173178,0.023054862,0.1622933,-0.14676972,-0.37015066,0.37314752,-0.07190337,1003100,36061003100,613229551459237887,"POLYGON ((-74.00816268802471 40.72199986380206, -74.01453775822581 40.72094502133425, -74.01649912074949 40.71648665791671, -74.01208632254425 40.713083467639606, -74.0057122762948 40.714138089736366, -74.00375000441076 40.71859612245124, -74.00816268802471 40.72199986380206))"
