BoroCT2020,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1011600,-0.06215475,0.43841967,0.13579889,0.8516557,-0.59502083,0.7932314,0.46337718,-0.2634065,0.021452371,-0.6346927,0.13647637,-2.828592,-1.1481229,-0.34253207,-0.75099164,-0.006024567,0.16792855,0.33286774,-0.10275819,-0.08744328,-1.2688451,0.08925736,-0.25640714,0.06917635,-0.14672647,1.469126,1.9325469,-0.089595914,0.83044845,0.34844255,0.2681002,-0.2804595,-1.5947806,-0.5633533,0.1727593,-0.3903261,0.19202164,0.30064508,0.34642607,-0.07568945,-0.2243541,-0.5100867,1.0773866,-1.7064439,0.7423036,0.8938012,0.48196295,0.7550958,-0.15587099,0.017996624,-0.24483296,0.78071535,0.47518432,0.73129547,-0.17984179,0.39258042,-0.727527,-0.0100526335,1.4026865,0.62648326,0.3137906,0.38667482,-0.07878811,-0.1131568
1002902,0.7285688,0.35137114,0.2407721,0.48054007,-0.5992969,0.94218713,0.12484136,-0.3573618,-0.0062816767,-0.20745425,-0.25967216,-2.1909246,-0.41478682,-0.5656246,0.73726714,-0.0056558657,0.5183251,0.46165812,-0.6729059,0.56781346,-0.5690329,-0.05865342,0.86400706,0.029143494,0.26005536,2.5103886,1.260805,0.051352676,1.1777526,0.32064152,0.1724303,-0.4956993,-1.0767322,-0.29273212,-0.11853649,-1.0836686,0.4298662,-0.8648975,-0.5000134,-0.17485721,0.24786776,0.28858066,1.114557,0.27643922,0.5843974,0.82878906,0.039308414,0.37008902,0.15598924,-0.34508333,0.16735323,0.7025455,0.2295983,0.51804614,-0.5565277,-0.008825109,0.050431956,0.13831787,0.64105314,0.9943493,0.4612793,-0.22464556,-0.36469993,0.3932143
1004200,0.38006142,0.7969583,0.03647365,0.815565,-0.6648583,0.53448457,0.54248875,-0.3212383,0.0382498,-0.3783425,-0.04952643,-3.420264,-0.8841798,-0.30000272,-0.64262736,-0.017860832,0.1837387,0.71064836,-0.24216266,-0.11725745,-1.3044744,-0.20769387,-0.28887525,-0.07075022,-0.5383127,1.2764286,2.3285768,0.031662337,1.2118621,0.41126657,0.44083932,-0.57051617,-2.2112465,-0.23839894,0.45440754,-0.1088644,0.043495588,0.3839845,-0.045267686,-0.6213478,-0.41418862,-0.9315932,1.6627812,-1.6963392,0.5037763,0.7690292,0.32101107,0.4446268,-0.1269422,-0.14607789,0.19979636,0.4659399,0.30787462,0.772265,-0.22154355,0.09730305,-0.68080944,0.1898427,1.9753238,0.6860402,0.050482463,0.5077376,-0.32189816,0.21614014
1004100,0.38739806,0.4073034,0.44465977,0.5908961,-0.7533382,0.60856915,-0.13955483,-0.22112176,-0.002810851,-0.30445457,0.5453601,-2.3437696,-0.36469573,0.3138579,-0.04240902,0.24946678,0.49757445,0.25106993,0.2636762,0.15680905,-0.32426664,-0.33587283,0.30894032,0.28171787,0.2844261,1.0565455,1.380749,-0.16526648,0.75348663,0.41027668,-0.35293832,-0.85601646,-1.1770945,-0.39563063,-0.15435693,-0.6601378,0.09696632,-0.16393763,0.060166895,-0.18476109,0.24261512,0.13356586,1.3037262,-0.040974054,0.35409713,0.13526085,0.6586925,0.26531112,0.13611472,-0.12256819,-0.41751984,0.3138561,0.3480829,0.1796812,-0.59396034,0.6018896,-0.3187655,-0.13509102,1.1267469,0.5932645,0.08545582,0.3675872,-0.24593829,-0.05515557
1005800,0.273661,0.34617248,0.23394714,0.6190033,-0.7380121,0.69966155,0.023455622,-0.118389815,0.02003293,-0.17164007,0.74570316,-2.4225512,-0.71661013,0.26304868,0.0014145316,0.056805644,0.4568737,0.15605605,0.017915713,0.31122038,-0.4070416,-0.39501834,0.33363783,0.28040686,0.1891606,1.0640643,1.4567434,-0.09964184,1.0355145,0.3671235,-0.47434545,-0.6911877,-1.3981607,-0.6092269,-0.25157973,-0.7577205,0.06415727,0.11150571,0.055813923,0.019046186,0.23813365,0.17667681,1.0336541,-0.19186784,0.50041896,0.16942145,0.728346,0.2782123,0.1536702,-0.11355174,-0.38089904,0.21093667,0.48251507,0.27677256,-0.6753407,0.7376741,-0.25530672,-0.14542535,1.3174771,0.63528764,0.07510815,0.09895995,-0.12535019,-0.19574267
2026100,-0.3346567,0.0801071,0.22581352,0.969322,-0.6258828,1.0381601,-0.21458139,-0.020646572,-0.07947037,-0.40006408,0.75273556,-1.7648448,-0.9229617,-0.08201195,-0.28769544,0.1827945,0.50415105,-0.1635768,0.39268374,0.035153564,-0.43417093,-0.13017994,0.3557917,0.34125495,0.69929,1.6090002,1.0252491,-0.35407016,0.5307875,0.32806876,-0.40339896,-0.20249097,-0.5478708,-0.59392804,-0.47062364,-1.1328121,0.21117896,-0.1693724,0.5622905,0.35849452,0.16780794,0.4940386,0.21252589,-0.1390446,0.6930167,0.711886,1.0389487,0.7838714,0.18082784,-0.016633498,-0.88034874,0.5593612,0.74597025,0.3547472,-0.42443335,1.0357491,-0.34203294,0.03433345,0.6856392,0.8541825,0.056433354,0.25159323,0.09793975,-0.3365191
2040100,0.04169272,0.15890151,0.0708881,0.80970955,-0.54210365,1.2005424,-0.1857544,-0.19271205,-0.07798234,-0.3476246,0.7329789,-1.7486331,-0.9404876,-0.2263351,0.087293826,0.42452088,0.33267608,-0.20492588,0.37580913,0.06503354,-0.643213,-0.20065966,0.49368253,0.3913326,0.46043164,1.7911313,0.966362,-0.07344831,0.82017213,0.13845873,-0.25573325,-0.31255886,-0.57345116,-0.49323723,-0.23524317,-1.1505184,0.11271228,-0.25632164,0.30192617,0.30881897,0.11989401,0.50560045,0.64213306,0.17393681,0.5247359,0.8969863,0.7099597,0.7161244,0.060205586,-0.0131942425,-0.5217757,0.43696657,0.4884074,0.4817179,-0.17331018,1.1137575,-0.17221962,0.1563201,0.8694045,0.65355057,0.13988413,0.11165082,-0.00735106,-0.17779422
2001600,-0.24538563,-0.08515191,0.26864797,0.9964232,-0.65884244,1.1267594,-0.21264179,-0.07491616,0.02712493,-0.19050153,1.0373433,-2.1047592,-0.97829825,-0.22701974,-0.34870422,0.24751669,0.531166,-0.3236202,0.4484722,-0.0062526437,-0.49890003,-0.19900876,0.47927648,0.28533426,0.69144505,1.6114446,1.0315182,-0.3082474,0.7036275,0.28080565,-0.5066749,-0.3478213,-0.44612703,-0.81626856,-0.24325006,-1.2544258,0.1619604,-0.18069935,0.31798524,0.39252588,0.37856174,0.5056612,0.14985892,-0.030282678,0.7767416,0.79222417,0.9418743,0.7780046,0.16703388,-0.025523685,-0.86510026,0.36337042,0.5120615,0.3492888,-0.50000495,1.2430398,-0.44808266,0.071007565,0.50278956,0.80349463,0.23163097,0.44706354,-0.0012754763,-0.11680585
2009301,0.37217578,0.07214232,0.33567795,1.3165716,-0.7690192,1.4761192,-0.11005104,0.4460165,-0.38039908,-0.16766319,0.9058762,-2.3065937,-1.1946535,-0.24247406,-0.24011251,0.07860476,0.6161981,-0.03454285,-0.21422909,0.075963624,-0.9647373,0.22892028,0.28125235,0.03277563,0.6886581,1.4202762,0.98488337,-0.08843373,0.8839704,0.92155045,0.11550815,-0.45347068,-0.7992594,-0.89086753,0.30316883,-1.5776358,-0.134159,-0.053556815,-0.4433352,-0.05915188,0.3495542,0.5858762,0.16894087,-0.03095656,0.79555917,0.8711561,0.7479854,0.75725776,-0.08142415,-0.3795902,-0.84860826,0.06842158,0.061414607,0.11584682,-0.17299892,0.66240704,-0.34204042,0.46753097,0.56977636,0.561108,0.56892866,-0.3084766,-0.43688962,0.33505517
2016100,-0.006182239,0.06350997,0.2749499,1.0130883,-0.7433068,1.2352804,-0.14903349,0.14450437,-0.054748118,-0.14762063,0.854945,-2.094011,-0.95785,-0.14526647,-0.124889195,0.30548668,0.49057522,-0.22519195,0.22632664,0.17848289,-0.65284014,-0.028374437,0.44109288,0.1737291,0.61040246,1.5829386,1.0781751,-0.17847985,0.8124859,0.4662535,-0.14867172,-0.45817393,-0.78943753,-0.72034556,-0.075980805,-1.1866992,0.0296095,-0.19275013,0.07986399,0.16647881,0.14718124,0.47149935,0.31305486,0.022260776,0.7233153,0.76728904,0.8758038,0.64110434,0.10242421,-0.11126861,-0.57901603,0.32892242,0.37374377,0.38342705,-0.3468947,0.9231662,-0.24546239,0.14143115,0.7039109,0.68674654,0.3911263,0.15222879,-0.12236989,0.013556209
