h3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
882a100007fffff,0.44572964,1.0751718,-1.5836359,-1.5690914,-0.76935726,1.3553792,-0.4904337,2.022977,-1.5154686,-0.5880926,-0.3807214,2.277209,0.008855489,0.52899903,0.7357254,-0.5465644,0.8364279,0.20489629,-0.49393427,-1.2764612,-0.9251671,0.3024239,-0.17973705,1.8152466,-0.9900678,-0.0321443,1.0846435,1.4813752,-0.42076302,-0.6724505,-1.2471037,-0.29572815,0.047182232,0.7254522,-0.32828352,-0.83853954,1.047682,-0.5033528,0.016424617,1.5773814,0.5850557,1.0557112,-0.6215524,-1.2443169,-0.6027618,-1.5522364,-0.17593782,-0.10653484,-0.40371376,-0.2973988,0.18605132,0.4416689,-1.5875038,0.689181,0.0038206312,0.59869164,0.6536741,0.023306886,1.0688266,1.0004209,0.6781,-1.165531,-0.4647483,-0.80746275
882a100025fffff,-0.39202014,0.11357808,-1.2329918,-0.061636813,-1.1369976,0.641122,0.49628407,0.50246435,0.67700493,-0.24062885,1.479323,-0.48995897,1.5697608,-0.56954294,0.52721477,-0.8760617,1.0999155,0.67157865,0.27294388,-0.5400752,0.4005083,-0.40820837,-0.694526,0.8706814,-1.0904274,-0.42672756,1.2164063,0.3771108,-1.0199579,-1.6832194,-1.6173642,-0.1829235,-0.5572813,0.12921244,0.8515454,0.65890396,0.7366445,-1.6188023,-0.06673743,0.90779686,0.42868924,1.5982656,-1.110036,1.2588987,-1.4520588,-1.1532342,-1.0654463,1.6488792,-0.62122804,-1.050552,0.4323609,-0.9550172,-1.01993,1.0278442,0.19202174,0.83342576,0.6989806,0.18666448,0.8042304,-0.3624707,0.4908702,-0.19875221,0.46525922,-0.45720434
882a100027fffff,-0.66526526,1.6219573,-0.31880873,1.2575176,0.13997746,0.9822776,-1.1984229,0.17869383,-1.6983898,-1.1934469,1.52105,1.74517,0.6142843,-1.7343817,0.2635988,-0.16840103,1.7276905,0.47582114,-1.1787105,-1.5494428,0.66407657,-1.1932728,-0.14167099,0.615433,-0.8709297,-1.2358859,-2.0572014,0.5929078,-1.4120188,-1.7972386,0.5946688,-0.53138703,-1.5360734,-0.7980478,0.29006863,1.6660392,0.56176776,0.96410155,-0.5084295,0.47064084,1.1650038,1.3058023,0.14739493,0.5880944,-0.5857388,-0.9138227,-0.7588968,1.8725021,-1.0913513,-0.98803246,0.15477021,1.7537761,-0.14014691,0.85681415,-0.13114874,2.0909233,-0.1122871,-1.0505539,0.6588738,-0.7061717,2.0101151,-0.5688423,-1.0372026,0.19107735
882a100029fffff,0.022239093,-0.55542403,-0.8495101,-0.029757993,-1.4808398,0.3731402,1.9778565,-0.006420929,2.3715618,0.08101997,1.4190173,-2.8908093,-0.13757622,0.19979511,0.9480007,-1.109445,0.15047811,0.59370184,0.7357661,0.012067521,0.023473132,0.05078132,-0.5652839,0.8115486,-0.2716033,0.21685418,2.8095074,-0.12303969,-1.3869133,-0.72183645,-1.7317381,-0.7791107,0.9426576,0.783727,0.52023375,0.33770937,0.022670893,-2.3152654,-0.47162348,0.5556685,-0.20008792,1.5042301,-1.4954664,0.9469112,-1.02244,-0.61992186,-0.76473683,1.0547926,0.5055122,-1.5519599,0.033892464,-3.0230784,-0.006158589,-0.02253112,-0.015373694,0.48963156,1.0980587,0.42290094,0.58255476,-0.31858587,-0.57951194,1.3605825,1.4401965,-0.4110471
882a10002dfffff,0.022239093,-0.55542403,-0.8495101,-0.029757993,-1.4808398,0.3731402,1.9778565,-0.006420929,2.3715618,0.08101997,1.4190173,-2.8908093,-0.13757622,0.19979511,0.9480007,-1.109445,0.15047811,0.59370184,0.7357661,0.012067521,0.023473132,0.05078132,-0.5652839,0.8115486,-0.2716033,0.21685418,2.8095074,-0.12303969,-1.3869133,-0.72183645,-1.7317381,-0.7791107,0.9426576,0.783727,0.52023375,0.33770937,0.022670893,-2.3152654,-0.47162348,0.5556685,-0.20008792,1.5042301,-1.4954664,0.9469112,-1.02244,-0.61992186,-0.76473683,1.0547926,0.5055122,-1.5519599,0.033892464,-3.0230784,-0.006158589,-0.02253112,-0.015373694,0.48963156,1.0980587,0.42290094,0.58255476,-0.31858587,-0.57951194,1.3605825,1.4401965,-0.4110471
882a100039fffff,0.96402866,0.9576718,-1.2623484,-0.71959984,0.7533323,-0.5878381,-1.3901069,1.3366789,-0.53611135,0.15949029,-0.9343588,2.2391853,-0.04825809,2.9748137e-05,-0.14476165,1.4421033,1.5687789,0.9190395,-0.19772395,-0.62833923,-0.60827506,0.4929782,0.31851712,1.2611104,-0.90102565,-0.53430283,0.27193823,1.0951271,0.6333191,-1.2477584,-1.5888911,-0.36392722,-0.20308445,0.8272134,-0.9870265,-0.37237555,1.3583403,0.7797219,0.85244405,0.50208044,1.2404263,-0.39346254,-0.52752167,-1.0559704,0.5430744,-1.3674742,0.0057167686,0.1519144,-0.5335056,-0.18857579,-1.302577,0.7225515,-1.2782145,0.020319706,0.07532159,0.99517155,0.03602076,-0.8293876,0.15570812,1.692369,0.6999826,-1.0988146,-1.018212,-2.2027314
882a100067fffff,0.022239093,-0.55542403,-0.8495101,-0.029757993,-1.4808398,0.3731402,1.9778565,-0.006420929,2.3715618,0.08101997,1.4190173,-2.8908093,-0.13757622,0.19979511,0.9480007,-1.109445,0.15047811,0.59370184,0.7357661,0.012067521,0.023473132,0.05078132,-0.5652839,0.8115486,-0.2716033,0.21685418,2.8095074,-0.12303969,-1.3869133,-0.72183645,-1.7317381,-0.7791107,0.9426576,0.783727,0.52023375,0.33770937,0.022670893,-2.3152654,-0.47162348,0.5556685,-0.20008792,1.5042301,-1.4954664,0.9469112,-1.02244,-0.61992186,-0.76473683,1.0547926,0.5055122,-1.5519599,0.033892464,-3.0230784,-0.006158589,-0.02253112,-0.015373694,0.48963156,1.0980587,0.42290094,0.58255476,-0.31858587,-0.57951194,1.3605825,1.4401965,-0.4110471
882a100093fffff,0.105624996,0.92649734,-1.2474171,-1.1973572,-1.2632484,0.7458367,0.60076797,1.718185,0.056001276,0.20448354,-0.3121008,0.33032757,1.6295028,0.42905977,1.1444699,-1.4231454,1.1840879,0.13117595,-0.38506207,-1.8487912,0.26108828,-1.3272465,-0.8352816,1.8306773,-2.019143,0.032836456,0.5585747,0.98136276,-0.5379739,-0.82410055,-1.079715,-1.3826193,-0.6082195,0.10550987,1.2169018,-0.44688833,1.638335,-1.2860874,0.17401436,0.5423316,1.5063862,1.135708,-1.2574894,-0.28968725,-1.6825118,-1.4126532,-0.68133795,1.1557028,0.32355753,-1.6098803,0.8779354,-0.07882135,-1.3195494,-0.84706134,-0.03518164,1.6242424,0.4750744,0.48343116,1.4259207,1.3747699,-0.045446556,0.18972078,0.6228404,-0.63226503
882a1000b1fffff,-0.62052333,1.299461,0.09384666,1.0760988,-0.7437553,1.5327878,1.6519037,-0.82352567,0.20535937,-0.7132605,1.2202028,-0.99531406,-0.25889534,-0.6866519,1.0061046,-0.8118224,-0.054574456,-0.6046238,-1.5464207,-0.95625997,0.045937292,-1.0017495,-0.6604159,0.05104338,0.37701872,0.45089304,0.34129348,-0.89532006,-2.6835334,-0.2299381,0.47129467,-0.3498573,0.5683251,-0.32489434,0.40408033,1.7052691,-0.18437481,-1.1209861,-2.2369623,-0.29256764,-0.59151596,1.6315855,-0.0029332961,0.7358361,-0.6428701,0.28837013,-0.54709786,0.9205155,-0.056534246,-1.3618869,1.4248251,-0.66215354,1.3938099,0.21560887,-0.46416745,0.4102287,0.5389598,-0.7843011,1.0501299,-1.7811118,1.2088938,0.73346955,0.9672537,1.3834231
882a1000b3fffff,-0.0076172524,1.7739006,-1.3586761,-0.58166444,-0.86198735,0.9816113,0.44045493,1.0560796,-0.32483202,-0.21021599,-0.083187304,0.4881361,0.8539461,0.0301326,1.299403,-0.9080229,1.397901,0.1816905,-0.900696,-1.6623436,0.04622227,-1.0871145,-0.7209198,1.7230033,-1.5134143,-0.11994816,0.20041537,0.88933474,-1.2544137,-0.9306267,-0.8201906,-1.5012048,-0.46005496,0.28068388,0.8403124,0.2407194,1.5358073,-0.7705863,-0.592422,0.5716905,1.4185249,1.2691526,-1.0802444,-0.36014855,-1.1191131,-1.5706134,-0.7542044,1.2400959,-0.010031322,-1.6345463,0.86065596,-0.35235012,-0.95829976,-0.42394665,0.19566123,1.8230921,0.7244678,-0.30097324,1.3132038,0.5360224,0.8166401,0.24366125,0.2784125,-0.5011354
