BoroCT2020,pop
1000100,1.035234656394
1000201,31569.89248324124
1000600,31599.0
1001300,14976.232709529171
1001401,30794.070917442205
1001402,37856.58814176276
1001800,36153.74767638301
1002100,19261.900745940988
1002201,40471.41031455309
1002202,40507.00000121521
1002400,10393.918055391616
1002500,34419.66736145094
1002601,40506.99999983797
1002602,40421.06686929949
1002800,31104.2290086825
1003001,38346.68033168547
1003002,38750.39915662444
1003100,21077.552091458198
1003200,42375.045107604616
1003300,15686.58399916287
1003400,42986.74752617194
1003601,37652.886299336846
1003602,40807.43882470675
1003700,16251.638385595897
1003900,13753.481186724473
1004001,43410.658975199374
1004002,43314.47355029338
1004100,27141.065964107987
1004300,27708.417916731014
1004500,26721.56037410665
1004700,16461.987224989687
1004900,26811.308030897413
1005000,29754.619422347158
1005200,29715.003767576152
1005400,34969.9325605354
1005501,31532.000000630636
1005502,34287.59524917345
1005600,21266.80537716855
1005800,17536.289400563077
1005900,33222.05623142833
1006100,35035.251197820755
1006300,36247.0819844761
1006500,30151.384135393877
1006600,46630.62749435827
1006700,21871.59874981013
1006800,39553.1149204684
1006900,10676.210541870445
1007001,33618.07780083628
1007002,43530.87235220985
1007100,35893.4515296024
1007200,43717.00000043717
1007300,29968.116308268825
1007400,33776.88246518792
1007500,21590.473480358938
1007600,15390.248231665217
1007700,32568.623451692678
1007800,32004.68880625088
1007900,23564.0074073081
1008000,28624.432978955625
1008100,36748.812269623566
1008200,15090.597241873045
1008300,22424.439300200316
1008400,5512.554430456297
1008601,29643.09415060357
1008603,26178.0
1008700,37189.46740277543
1008800,25291.27551416695
1008900,24234.324332829576
1009000,20902.212164420886
1009100,34941.95558836686
1009200,17542.11228312355
1009300,29706.56074464366
1009400,7557.7568648573315
1009500,28119.908132626686
1009600,6321.339475183753
1009700,22347.06306564834
1009800,23366.425328224526
1009901,13683.970503862904
1009902,762.8042708205046
1009903,4240.393640497967
1010000,14996.663281536023
1010100,12183.892345013852
1010200,11745.16046572892
1010300,11684.999999941576
1010400,13527.281403879504
1010601,30254.19179141279
1010602,28931.36445648364
1010801,30321.586438350358
1010802,40679.206097812465
1010803,40908.21502430257
1010900,5001.710761473796
1011000,40955.00000040956
1011100,11148.544744722822
1011201,11080.139155079934
1011202,10220.0000001022
1011203,16139.390888137368
1011300,4903.979157720383
1011401,9891.117703254613
1011402,31661.9762085779
1011500,11723.83186436812
1011800,35452.87259799696
1011900,13932.703272563564
1012000,34069.70818001014
1012101,34794.47486354804
1012102,27413.95472959331
1012200,16239.113689462845
1012500,23806.249745249876
1012601,63551.87729645697
1012602,45710.8606482168
1012700,36798.397418494795
1012800,33293.15079563626
1013000,28348.494997829453
1013100,16715.473673268443
1013201,52784.85195799271
1013202,31083.286205317752
1013203,60960.198260655794
1013300,36795.85216922016
1013400,64584.795816443206
1013601,29459.000000294593
1013602,29458.999999410822
1013603,40765.06290728655
1013604,34805.95138727285
1013800,59655.307460932156
1014000,51087.164567277774
1014200,13695.666408225043
1014300,9881.461141495252
1014601,56542.37713201668
1014602,56539.28917875547
1014700,33099.00000033099
1014801,56546.000001696375
1014802,55715.031450460876
1014900,22359.384693553475
1015001,37248.59303402015
1015002,41950.74759151739
1015101,30583.497585597845
1015200,50449.195645337335
1015301,33210.25450323001
1015302,49022.89856280755
1015401,56536.27020386534
1015402,56529.29540758729
1015403,52404.987116687145
1015501,35186.298567136255
1015601,44064.26313369206
1015602,41267.99999995873
1015700,50762.12621608922
1015801,29742.629897894985
1015802,36216.37544771599
1016001,21740.0
1016002,21739.999999847823
1016100,39237.090339585506
1016200,23393.151778702097
1016400,37658.10516295832
1016500,23073.840016527334
1016600,40963.8157178502
1016800,27623.896436851956
1016900,47535.08926086264
1017000,30061.08486258904
1017100,35269.43294986702
1017200,38747.45977044208
1017300,47505.44047971834
1017401,39064.000000390646
1017402,39063.999999609354
1017500,31051.58384278435
1017700,38198.55986147092
1017900,31297.12871435889
1018000,32432.048806535862
1018100,39868.88427496581
1018200,31845.414285901734
1018300,44849.460129147585
1018400,31738.679255878887
1018600,30896.351553507935
1018700,48260.305614771576
1018800,31875.84749974192
1019000,25364.999999974636
